original_run	bytes	files	latest_utc	best_coverage_metric	best_coverage	at_episode_or_seed
runs_dqn_v10_smoke	36208172	7	2026-07-30T10:44:26.677405+00:00	eval_coverage_mean	0.004444444	1
runs_dqn_v5	218746805	69	2026-04-19T16:28:02+00:00	eval_coverage_mean	0.577333333	920
runs_dqn_v5_explore_v2	222591680	70	2026-07-01T17:36:50.755944+00:00	holdout_eval_coverage_mean	0.608444444	1200
runs_dqn_v5_explore_v3	65488929	22	2026-07-01T18:55:31.636184+00:00	holdout_eval_coverage_mean	0.443111111	260
runs_dqn_v5_improved	219243899	69	2026-07-01T02:18:34.792735+00:00	holdout_eval_coverage_mean	0.584888889	1040
runs_dqn_v5_smoke_adaptive	26136062	10	2026-07-01T18:29:23.276553+00:00	holdout_eval_coverage_mean	0.004444444	1
runs_dqn_v5_smoke_adaptive_v2	26135922	10	2026-07-01T18:30:55.867866+00:00	holdout_eval_coverage_mean	0.004444444	1
runs_dqn_v6_smoke	32703742	12	2026-07-15T23:27:12.250956+00:00	holdout_eval_coverage_mean	0.285555556	40
runs_dqn_v6_trial300	75356738	25	2026-07-15T23:53:50.246015+00:00	holdout_eval_coverage_mean	0.575555556	300
runs_dqn_v7_smoke	35978612	13	2026-07-16T00:10:43.903178+00:00	holdout_eval_coverage_mean	0.324444444	40
runs_dqn_v7_trial120	49108031	17	2026-07-16T00:23:53.357281+00:00	holdout_eval_coverage_mean	0.506222222	100
runs_dqn_v8_smoke	35977580	13	2026-07-16T00:26:44.843347+00:00	holdout_eval_coverage_mean	0.120000000	40
runs_dqn_v8_smoke_tuned	35978327	13	2026-07-16T00:34:19.031790+00:00	holdout_eval_coverage_mean	0.402222222	40
runs_dqn_v8_smoke_v6defaults	35978144	13	2026-07-16T00:29:15.059484+00:00	holdout_eval_coverage_mean	0.273333333	40
runs_dqn_v8_smoke_v6defaults_nonovelty	35978156	13	2026-07-16T00:31:39.422992+00:00	holdout_eval_coverage_mean	0.191111111	40
runs_dqn_v8_trial120	49106636	17	2026-07-16T05:35:07.917658+00:00	holdout_eval_coverage_mean	0.340888889	60
runs_dqn_v9_3x3_hazard	55906070	17	2026-07-30T10:05:06.704253+00:00	holdout_eval_coverage_mean	0.048444444	60
runs_dqn_v9_coverage_v1	169294153	51	2026-07-30T13:01:04.771979+00:00	holdout_eval_coverage_mean	0.383555556	640
runs_dqn_v9_no_health_smoke	22893629	9	2026-07-30T09:49:12.872075+00:00	coverage	0.364444444	1
runs_ppo_rnd_reset_smoke	34570379	10	2026-07-01T19:08:16.573360+00:00	holdout_eval_coverage_mean	0.035555556	1
runs_ppo_rnd_smoke	34570066	10	2026-07-01T19:06:50.168794+00:00	holdout_eval_coverage_mean	0.035555556	1
runs_ppo_rnd_v1	164412915	40	2026-07-15T07:46:49.580122+00:00	holdout_eval_coverage_mean	0.545333333	300
runs_ppo_rnd_v2	164462523	40	2026-07-15T08:39:51.839535+00:00	holdout_eval_coverage_mean	0.566666667	300
runs_ppo_rnd_v2_smoke	38904638	11	2026-07-15T08:10:14.152406+00:00	holdout_eval_coverage_mean	0.035555556	1
runs_ppo_rnd_v3_smoke	38904864	11	2026-07-15T08:51:50.899906+00:00	holdout_eval_coverage_mean	0.035555556	1
runs_ppo_rnd_v3_trial100	77872772	20	2026-07-15T09:03:31.532201+00:00	holdout_eval_coverage_mean	0.413333333	90
runs_r2d2_v1	240593963	69	2026-07-16T07:29:13.747708+00:00	holdout_eval_coverage_mean	0.313777778	820
runs_r2d2_v1_smoke	21492466	8	2026-07-16T06:15:40.311865+00:00	holdout_eval_coverage_mean	0.004444444	1
runs_r2d2_v1_smoke_fix1	32230858	11	2026-07-16T06:19:52.761487+00:00	holdout_eval_coverage_mean	0.035555556	25
runs_r2d2_v2	86169865	26	2026-07-16T13:04:13.987973+00:00	holdout_eval_coverage_mean	0.222666667	360
runs_r2d2_v2_trial120	46620399	15	2026-07-16T12:08:36.138735+00:00	holdout_eval_coverage_mean	0.090000000	40
