episode,global_step,epsilon,reward,coverage,final_health,length,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_soft_score
1,205,0.9978361111111111,-9.349893120765689,0.19111111111111112,0,205,0.0,0.0,0.0,0.149875,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.3644444444444444
2,389,0.9958938888888889,-12.485093838214876,0.13777777777777778,0,184,0.0,0.0,0.0,0.14975,nan,nan,nan,nan,nan,nan,nan
3,516,0.9945533333333333,-12.357962937355042,0.10666666666666667,0,127,0.0,0.0,0.0,0.149625,nan,nan,nan,nan,nan,nan,nan
4,729,0.992305,-12.73460022974013,0.16,0,213,0.0,0.0,0.0,0.1495,nan,nan,nan,nan,nan,nan,nan
5,832,0.9912177777777778,-8.216267759323118,0.08,0,103,0.0,0.0,0.0,0.149375,nan,nan,nan,nan,nan,nan,nan
6,1040,0.9890222222222222,-8.670500272750862,0.13777777777777778,-1,208,0.0,0.0,0.0,0.14925,nan,nan,nan,nan,nan,nan,nan
7,1247,0.9868372222222223,-7.303002142906194,0.22666666666666666,0,207,0.0,0.0,0.0,0.149125,nan,nan,nan,nan,nan,nan,nan
8,1353,0.9857183333333334,-9.502137626171113,0.08,-2,106,0.0,0.0,0.0,0.149,nan,nan,nan,nan,nan,nan,nan
9,1562,0.9835122222222222,-9.028427174091343,0.16444444444444445,0,209,0.0,0.0,0.0,0.148875,nan,nan,nan,nan,nan,nan,nan
10,1661,0.9824672222222223,-5.840278475999835,0.10666666666666667,0,99,0.0,0.0,0.0,0.14875,nan,nan,nan,nan,nan,nan,nan
11,1839,0.9805883333333333,-8.995878796577456,0.18666666666666668,-2,178,0.0,0.0,0.0,0.148625,nan,nan,nan,nan,nan,nan,nan
12,1972,0.9791844444444444,-9.313232086181639,0.12,-1,133,0.0,0.0,0.0,0.1485,nan,nan,nan,nan,nan,nan,nan
13,2043,0.9784349999999999,-3.251235800504685,0.10666666666666667,0,71,0.0,0.0,0.0,0.148375,nan,nan,nan,nan,nan,nan,nan
14,2183,0.9769572222222223,-11.722330347299572,0.09777777777777778,-2,140,0.0,0.0,0.0,0.14825,nan,nan,nan,nan,nan,nan,nan
15,2432,0.9743288888888889,-7.712500000000009,0.21777777777777776,0,249,0.0,0.0,0.0,0.148125,nan,nan,nan,nan,nan,nan,nan
16,2634,0.9721966666666667,-7.267560590267184,0.20444444444444446,0,202,0.0,0.0,0.0,0.148,nan,nan,nan,nan,nan,nan,nan
17,2751,0.9709616666666667,-8.059358418941496,0.09777777777777778,0,117,0.0,0.0,0.0,0.147875,nan,nan,nan,nan,nan,nan,nan
18,2821,0.9702227777777778,-4.1314618990421295,0.09333333333333334,0,70,0.0,0.0,0.0,0.14775,nan,nan,nan,nan,nan,nan,nan
19,3031,0.9680061111111111,-9.980000000000002,0.1511111111111111,0,210,0.0,0.0,0.0,0.147625,nan,nan,nan,nan,nan,nan,nan
20,3281,0.9653672222222223,-8.652420794963847,0.19555555555555557,2,250,0.04617762453854084,0.008250066358596087,0.25713599622249605,0.1475,-64.39242469451429,0.04044444444444444,0.0,108.4,0.0,1.0,0.04044444444444444
21,3399,0.9641216666666667,-6.735430318832398,0.13333333333333333,-2,118,0.041407988592982295,0.0076209463644772765,0.22925897166132927,0.147375,nan,nan,nan,nan,nan,nan,nan
22,3560,0.9624222222222222,-5.851171688556672,0.18666666666666668,0,161,0.03899027965962887,0.0061983979307115075,0.22269529700279236,0.14725,nan,nan,nan,nan,nan,nan,nan
23,3732,0.9606066666666667,-5.8970155882835416,0.1688888888888889,0,172,0.03349358905106783,0.0058301148470491174,0.18802700489759444,0.147125,nan,nan,nan,nan,nan,nan,nan
24,3841,0.9594561111111111,-5.203652119159699,0.14666666666666667,0,109,0.039088083803653716,0.00680432457011193,0.21961741596460344,0.147,nan,nan,nan,nan,nan,nan,nan
25,4091,0.9568172222222222,-9.940737070322047,0.18222222222222223,2,250,0.03402348291128874,0.006151385698467493,0.18976747393608093,0.146875,nan,nan,nan,nan,nan,nan,nan
26,4241,0.9552338888888889,-6.916984275817873,0.18222222222222223,0,150,0.033180933259427545,0.00657417387701571,0.18130670487880707,0.14675,nan,nan,nan,nan,nan,nan,nan
27,4348,0.9541044444444444,-5.223791182518008,0.1288888888888889,0,107,0.028379008919000626,0.005139435478486121,0.15849666967988013,0.146625,nan,nan,nan,nan,nan,nan,nan
28,4491,0.952595,-4.970988569259643,0.19111111111111112,0,143,0.027981949970126152,0.005459663295187056,0.15373573899269105,0.1465,nan,nan,nan,nan,nan,nan,nan
29,4631,0.9511172222222222,-6.780157341480256,0.10666666666666667,0,140,0.026700080558657645,0.0049660038901492955,0.14848215952515603,0.146375,nan,nan,nan,nan,nan,nan,nan
30,4845,0.9488583333333334,-8.53041702747346,0.18222222222222223,0,214,0.023218968790024518,0.004620912228710949,0.12716620340943335,0.14625,nan,nan,nan,nan,nan,nan,nan
31,5000,0.9472222222222222,-7.547472322702411,0.13777777777777778,0,155,0.023399080522358416,0.0050014047883450985,0.1259036809206009,0.146125,nan,nan,nan,nan,nan,nan,nan
32,5191,0.9452061111111111,-7.465975049495704,0.2,0,191,0.01913279788568616,0.0047824586974456905,0.0982899971306324,0.146,nan,nan,nan,nan,nan,nan,nan
33,5369,0.9433272222222222,-7.359357816696172,0.17777777777777778,0,178,0.01509825959801674,0.004703656560741365,0.07125691659748554,0.145875,nan,nan,nan,nan,nan,nan,nan
34,5579,0.9411105555555556,-8.431438371658329,0.19111111111111112,0,210,0.012122730119153857,0.0036997795454226435,0.057790397107601164,0.14575,nan,nan,nan,nan,nan,nan,nan
35,5695,0.9398861111111111,-7.022756231307985,0.1288888888888889,0,116,0.010970440693199635,0.0038118019583635032,0.04915803652256727,0.145625,nan,nan,nan,nan,nan,nan,nan
36,5945,0.9372472222222222,-9.07874592876434,0.2,1,250,0.010100764408707618,0.0031254001311026513,0.04794064871966839,0.1455,nan,nan,nan,nan,nan,nan,nan
37,6062,0.9360122222222222,-5.134347974300385,0.17777777777777778,0,117,0.007582094520330429,0.0033603876596316694,0.029040115419775248,0.145375,nan,nan,nan,nan,nan,nan,nan
38,6128,0.9353155555555556,-5.548827544212342,0.09777777777777778,0,66,0.008528231037780642,0.00286550308810547,0.0389860799536109,0.14525,nan,nan,nan,nan,nan,nan,nan
39,6247,0.9340594444444444,-5.7720736584663435,0.1511111111111111,0,119,0.008553906762972473,0.0037701484048739075,0.032963020447641614,0.145125,nan,nan,nan,nan,nan,nan,nan
40,6489,0.931505,-18.322745027065267,0.20444444444444446,0,242,0.009892783453688025,0.0032032495131716133,0.04613471729680896,0.145,-5.20914918458462,0.27066666666666667,0.0,152.7,0.0,1.0,0.27066666666666667
41,6656,0.9297422222222222,-9.097643790721895,0.1288888888888889,0,167,0.007145279552787542,0.00294191901339218,0.029013704415410756,0.144875,nan,nan,nan,nan,nan,nan,nan
