episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,113,0.9988072222222222,-3.1552224454879765,0.24,0,113,0.4690265486725664,0.08849557522123894,0.05309734513274336,0.10619469026548672,0.008849557522123894,0.6106194690265486,0.22123893805309736,0.168141592920354,0.10222222222222223,0.2222222222222222,nan,0.0,0.0,0.0,0.149875,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.0,0.0,0.0,0.9960000000000001,0.0,0.0,0.0,1.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,-443.98332876539223,0.0044444444444444444,2.7,240.7,0.9,0.1,0.0,0.0,0.0,0.9957630573248408,0.0,0.0,0.0,1.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.3644444444444444
2,208,0.9978044444444445,-3.4318389363288917,0.19555555555555557,0,95,0.45263157894736844,0.11578947368421053,0.042105263157894736,0.1368421052631579,0.010526315789473684,0.6105263157894737,0.24210526315789474,0.14736842105263157,0.09777777777777778,nan,nan,0.0,0.0,0.0,0.14975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,406,0.9957144444444445,-3.1006631028652203,0.32,0,198,0.35858585858585856,0.19696969696969696,0.03535353535353535,0.08585858585858586,0.0,0.5909090909090909,0.13636363636363635,0.2727272727272727,0.08888888888888889,0.17777777777777778,0.2311111111111111,0.0,0.0,0.0,0.149625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,609,0.9935716666666666,-5.634689578771596,0.36444444444444446,0,203,0.39901477832512317,0.12315270935960591,0.06896551724137931,0.11330049261083744,0.0,0.5911330049261084,0.16748768472906403,0.2413793103448276,0.11555555555555555,0.19555555555555557,0.23555555555555555,0.0,0.0,0.0,0.1495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,732,0.9922733333333333,-2.0598063530921937,0.26222222222222225,0,123,0.4715447154471545,0.11382113821138211,0.032520325203252036,0.06504065040650407,0.016260162601626018,0.6178861788617886,0.18699186991869918,0.1951219512195122,0.13333333333333333,0.2088888888888889,nan,0.0,0.0,0.0,0.149375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,941,0.9900672222222222,-5.956779383182528,0.2311111111111111,0,209,0.24401913875598086,0.215311004784689,0.06698564593301436,0.1339712918660287,0.0,0.5263157894736842,0.23444976076555024,0.23923444976076555,0.11555555555555555,0.16,0.21333333333333335,0.0,0.0,0.0,0.14925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1116,0.98822,-3.045447855472566,0.29777777777777775,0,175,0.37714285714285717,0.1657142857142857,0.04,0.12,0.005714285714285714,0.5828571428571429,0.2,0.21714285714285714,0.1288888888888889,0.22666666666666666,0.27111111111111114,0.0,0.0,0.0,0.149125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1245,0.9868583333333333,-5.1330789742469785,0.18222222222222223,0,129,0.31007751937984496,0.13953488372093023,0.11627906976744186,0.13953488372093023,0.007751937984496124,0.5658914728682171,0.24031007751937986,0.1937984496124031,0.14666666666666667,0.17777777777777778,nan,0.0,0.0,0.0,0.149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1368,0.98556,-2.660354969501496,0.22666666666666666,0,123,0.4065040650406504,0.17073170731707318,0.024390243902439025,0.06504065040650407,0.008130081300813009,0.6016260162601627,0.21951219512195122,0.17886178861788618,0.09777777777777778,0.19111111111111112,nan,0.0,0.0,0.0,0.148875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1477,0.9844094444444444,-3.0983367772102373,0.19555555555555557,0,109,0.3944954128440367,0.11926605504587157,0.07339449541284404,0.07339449541284404,0.009174311926605505,0.5871559633027523,0.22935779816513763,0.1834862385321101,0.1111111111111111,0.18666666666666668,nan,0.0,0.0,0.0,0.14875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
