episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,mean_imitation_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,174,0.9981633333333333,-10.147425324439997,0.3422222222222222,0,174,0.4367816091954023,0.06321839080459771,0.20114942528735633,0.05747126436781609,0.0,0.7011494252873564,0.15517241379310345,0.14367816091954022,46.0,0.25862068965517243,0.04862433862433862,120.98500308990455,0.0027918979142131646,0.628177030697962,0.8820295550963171,0.0,0.6190476190476191,0.13333333333333333,0.26222222222222225,0.28,0.0,0.0,0.0,0.0,0.149875,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.0,0.0,0.0,0.9960000000000001,0.0,0.0,0.0,1.0,250.0,0.9800000000000001,0.0,74.99999999999964,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,-443.98332876539223,0.0044444444444444444,2.7,240.7,0.9,0.1,0.0,0.0,0.0,0.9957630573248408,0.0,0.0,0.0,1.0,240.7,0.9788152866242038,0.0,77.53932157516451,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.009333333333333334
2,323,0.9965905555555555,-6.288579624176029,0.26666666666666666,0,149,0.3959731543624161,0.053691275167785234,0.2214765100671141,0.053691275167785234,0.0,0.6711409395973155,0.15436241610738255,0.174496644295302,56.0,0.3691275167785235,0.0442283950617284,100.7102821350096,0.002603728404520741,0.5858388910171667,0.9144276632411367,0.0,0.5853658536585366,0.1111111111111111,0.1111111111111111,nan,0.0,0.0,0.0,0.0,0.14975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,452,0.9952288888888889,-7.844415769577028,0.21777777777777776,0,129,0.37209302325581395,0.023255813953488372,0.26356589147286824,0.06976744186046512,0.007751937984496124,0.6589147286821705,0.17054263565891473,0.17054263565891473,22.0,0.2558139534883721,0.035555555555555556,90.28967399597144,0.0023627655732022233,0.5316222539705002,0.9038885535481628,0.007751937984496124,0.6571428571428571,0.14666666666666667,0.21333333333333335,nan,0.0,0.0,0.0,0.0,0.149625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,548,0.9942155555555555,-3.447267048597336,0.22666666666666666,0,96,0.5208333333333334,0.020833333333333332,0.14583333333333334,0.08333333333333333,0.010416666666666666,0.6875,0.14583333333333334,0.16666666666666666,9.0,0.07291666666666667,0.05703703703703703,70.77397189140315,0.0031398862644476696,0.7064744095007257,0.9254805030690695,0.0,0.7727272727272727,0.12,nan,nan,0.0,0.0,0.0,0.0,0.1495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,707,0.9925372222222222,-8.971600780963898,0.2222222222222222,0,159,0.3081761006289308,0.05660377358490566,0.2893081761006289,0.06918238993710692,0.0,0.6540880503144654,0.16981132075471697,0.1761006289308176,52.0,0.4025157232704403,0.03111111111111111,100.21524553298923,0.0021731002765052235,0.48894756221367536,0.8653902900134153,0.0,0.4318181818181818,0.13777777777777778,0.15555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,0.149375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,870,0.9908166666666667,-1.739165913105011,0.4088888888888889,0,163,0.558282208588957,0.04294478527607362,0.07975460122699386,0.03680981595092025,0.006134969325153374,0.6809815950920245,0.147239263803681,0.17177914110429449,19.0,0.08588957055214724,0.05777777777777778,110.10634202957124,0.003673216610318622,0.8264737373216898,0.9648918219395827,0.0,0.8478260869565217,0.1511111111111111,0.3022222222222222,0.4088888888888889,0.0,0.0,0.0,0.0,0.14925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1016,0.9892755555555556,-7.188512878894807,0.24444444444444444,0,146,0.3698630136986301,0.07534246575342465,0.17123287671232876,0.1095890410958904,0.00684931506849315,0.6164383561643836,0.18493150684931506,0.19863013698630136,42.0,0.2945205479452055,0.04112874779541446,90.0715512275694,0.002664548314413175,0.5995233707429644,0.921237881514942,0.00684931506849315,0.6,0.1511111111111111,0.2088888888888889,nan,0.0,0.0,0.0,0.0,0.149125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1125,0.988125,-6.374858927011492,0.2222222222222222,-2,109,0.44954128440366975,0.01834862385321101,0.21100917431192662,0.06422018348623854,0.01834862385321101,0.6788990825688074,0.1743119266055046,0.14678899082568808,23.0,0.25688073394495414,0.05619753086419752,72.86532311439503,0.0029887711804403474,0.6724735155990782,0.930972821916525,0.0,0.5357142857142857,0.09777777777777778,0.18666666666666668,nan,0.0,0.0,0.0,0.0,0.149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1229,0.9870272222222223,-0.918661178350449,0.28,0,104,0.5961538461538461,0.04807692307692308,0.009615384615384616,0.057692307692307696,0.009615384615384616,0.6538461538461539,0.20192307692307693,0.14423076923076922,6.0,0.009615384615384616,0.06444444444444446,70.13963027000412,0.0039286713444995095,0.8839510525123896,0.9971837190498707,0.0,0.8275862068965517,0.15555555555555556,0.27111111111111114,nan,0.0,0.0,0.0,0.0,0.148875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1352,0.9857288888888889,-4.744395280599595,0.24,-1,123,0.43089430894308944,0.056910569105691054,0.1951219512195122,0.04878048780487805,0.008130081300813009,0.6829268292682927,0.13821138211382114,0.17886178861788618,14.0,0.16260162601626016,0.04765217391304348,87.67995505332938,0.0026865382790431875,0.6044711127847172,0.9679713653033746,0.0,0.7575757575757576,0.1288888888888889,0.2088888888888889,nan,0.0,0.0,0.0,0.0,0.14875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
