episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,seen_coverage,center_seen_coverage,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,seen_at_step_50,seen_at_step_100,seen_at_step_150,center_seen_at_step_50,center_seen_at_step_100,center_seen_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_seen_coverage_mean,eval_center_seen_coverage_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,eval_seen_at_step_50_mean,eval_seen_at_step_100_mean,eval_seen_at_step_150_mean,eval_center_seen_at_step_50_mean,eval_center_seen_at_step_100_mean,eval_center_seen_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_seen_coverage_mean,holdout_eval_center_seen_coverage_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,holdout_eval_seen_at_step_50_mean,holdout_eval_seen_at_step_100_mean,holdout_eval_seen_at_step_150_mean,holdout_eval_center_seen_at_step_50_mean,holdout_eval_center_seen_at_step_100_mean,holdout_eval_center_seen_at_step_150_mean,eval_soft_score
1,183,0.9980683333333333,-2.4799193639755246,0.36444444444444446,0,183,0.4426229508196721,0.14207650273224043,0.0,0.1366120218579235,0.0,0.9022222222222223,0.9526627218934911,0.5846994535519126,0.20218579234972678,0.21311475409836064,17.0,0.1366120218579235,0.0532638888888889,120.06589870452862,0.0029983534366067395,0.6746295232365163,0.9983994906075768,0.00546448087431694,0.6666666666666666,0.14666666666666667,0.24444444444444444,0.3022222222222222,0.6,0.7822222222222223,0.8755555555555555,0.727810650887574,0.863905325443787,0.9349112426035503,0.0,0.0,0.0,0.149875,-471.7,0.0044444444444444444,3.0,250.0,1.0,0.0,0.0,0.0,0.0,0.9960000000000001,0.0,0.11111111111111112,0.14792899408284027,0.0,0.0,1.0,250.0,0.9800000000000001,0.0,74.99999999999964,0.0,0.0,0.2411092147648631,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.14792899408284027,0.14792899408284027,0.14792899408284027,-443.98332876539223,0.0044444444444444444,2.7,240.7,0.9,0.1,0.0,0.0,0.0,0.9957630573248408,0.0,0.11111111111111112,0.14792899408284027,0.0,0.0,1.0,240.7,0.9788152866242038,0.0,77.53932157516451,0.0,0.0,0.247009682888193,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.14792899408284027,0.14792899408284027,0.14792899408284027,0.22780802103879028
2,419,0.9955772222222222,-3.263947676897047,0.44,0,236,0.4152542372881356,0.09322033898305085,0.0,0.19915254237288135,0.0,0.8844444444444445,0.9763313609467456,0.5084745762711864,0.2542372881355932,0.23728813559322035,18.0,0.11440677966101695,0.043555555555555556,140.74235882759098,0.0030947012625325543,0.6963077840698246,0.984370994863863,0.0423728813559322,0.7246376811594203,0.14222222222222222,0.26666666666666666,0.3688888888888889,0.6444444444444445,0.8222222222222222,0.8577777777777778,0.7810650887573964,0.9644970414201184,0.9704142011834319,0.0,0.0,0.0,0.14975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,597,0.9936983333333334,-2.2651761813163733,0.3422222222222222,0,178,0.42696629213483145,0.11235955056179775,0.0,0.15730337078651685,0.0,0.6444444444444445,0.6686390532544378,0.5393258426966292,0.2303370786516854,0.2303370786516854,24.0,0.11797752808988764,0.04222222222222222,110.02072553634619,0.0030701286155960707,0.6907789385091159,0.9917726623928808,0.02247191011235955,0.7735849056603774,0.14222222222222222,0.24444444444444444,0.3333333333333333,0.4666666666666667,0.5733333333333334,0.6444444444444445,0.5029585798816568,0.5976331360946746,0.6686390532544378,0.0,0.0,0.0,0.149625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,793,0.9916294444444445,-1.5793269927501672,0.39111111111111113,0,196,0.44387755102040816,0.12244897959183673,0.0,0.11734693877551021,0.0,0.8222222222222222,0.893491124260355,0.5663265306122449,0.18877551020408162,0.24489795918367346,27.0,0.14795918367346939,0.04865079365079365,120.3173999309537,0.0032137219295676465,0.7230874341527204,0.9970112936855771,0.00510204081632653,0.7258064516129032,0.1111111111111111,0.18666666666666668,0.31555555555555553,0.4222222222222222,0.6355555555555555,0.7555555555555555,0.5621301775147929,0.7692307692307693,0.834319526627219,0.0,0.0,0.0,0.1495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1043,0.9889905555555556,0.19641402959823756,0.5155555555555555,1,250,0.46,0.096,0.0,0.14,0.0,0.9022222222222223,0.9467455621301775,0.556,0.232,0.212,8.0,0.032,0.05111111111111111,153.89129495620756,0.003321247710967385,0.7472807349676618,0.9959662553262509,0.02,0.7733333333333333,0.10666666666666667,0.19555555555555557,0.29333333333333333,0.4177777777777778,0.5955555555555555,0.7111111111111111,0.5207100591715976,0.6686390532544378,0.7692307692307693,0.0,0.0,0.0,0.149375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1207,0.9872594444444445,-0.6741422848701467,0.3688888888888889,0,164,0.5,0.10365853658536585,0.0,0.12804878048780488,0.0,0.8266666666666667,0.9112426035502958,0.6036585365853658,0.22560975609756098,0.17073170731707318,17.0,0.0975609756097561,0.05455782312925169,100.09659318923924,0.0036409275563998277,0.8192087001899612,0.9892843944336543,0.0,0.7441860465116279,0.13333333333333333,0.27555555555555555,0.3466666666666667,0.4888888888888889,0.7688888888888888,0.8177777777777778,0.5384615384615384,0.8520710059171598,0.9053254437869822,0.0,0.0,0.0,0.14925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1416,0.9850533333333333,-1.1087057638168336,0.40444444444444444,0,209,0.430622009569378,0.11483253588516747,0.0,0.1339712918660287,0.0,0.7155555555555555,0.757396449704142,0.5454545454545454,0.24880382775119617,0.20574162679425836,18.0,0.10047846889952153,0.04707818930041152,120.14005489349324,0.003329447454927573,0.749125677358704,0.9957957911175104,0.009569377990430622,0.6818181818181818,0.1111111111111111,0.2222222222222222,0.3244444444444444,0.4311111111111111,0.5911111111111111,0.6755555555555556,0.5384615384615384,0.6627218934911243,0.7396449704142012,0.0,0.0,0.0,0.149125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1666,0.9824144444444445,-1.7825032801628118,0.39555555555555555,2,250,0.352,0.128,0.0,0.22,0.0,0.7155555555555555,0.757396449704142,0.48,0.268,0.252,18.0,0.152,0.03911111111111111,140.78574552535986,0.0027780590261580135,0.6250632808855531,0.994142135623731,0.024,0.6756756756756757,0.1111111111111111,0.2088888888888889,0.25333333333333335,0.4177777777777778,0.5511111111111111,0.56,0.4556213017751479,0.5798816568047337,0.5798816568047337,0.0,0.0,0.0,0.149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1853,0.9804405555555555,-4.0783043475151075,0.31555555555555553,0,187,0.37433155080213903,0.13368983957219252,0.0,0.18181818181818182,0.0,0.8622222222222222,0.9112426035502958,0.5080213903743316,0.22994652406417113,0.2620320855614973,26.0,0.23529411764705882,0.03888888888888889,120.440993785858,0.0025830998344655086,0.5811974627547394,0.9852096498325241,0.0213903743315508,0.6379310344827587,0.13333333333333333,0.22666666666666666,0.29333333333333333,0.49777777777777776,0.7244444444444444,0.8533333333333334,0.5502958579881657,0.8284023668639053,0.8994082840236687,0.0,0.0,0.0,0.148875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,2026,0.9786144444444445,-1.3674953525066378,0.3377777777777778,0,173,0.43352601156069365,0.10982658959537572,0.0,0.15606936416184972,0.0,0.7955555555555556,0.893491124260355,0.5433526011560693,0.2832369942196532,0.17341040462427745,19.0,0.08670520231213873,0.048281573498964815,100.09043192863436,0.0033303216592271666,0.7493223733261124,0.9788702590809162,0.017341040462427744,0.6862745098039216,0.09333333333333334,0.21333333333333335,0.28444444444444444,0.3466666666666667,0.6355555555555555,0.72,0.46153846153846156,0.8106508875739645,0.8461538461538461,0.0,0.0,0.0,0.14875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
