episode,global_step,epsilon,reward,coverage,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,seen_coverage,center_seen_coverage,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,seen_at_step_50,seen_at_step_100,seen_at_step_150,center_seen_at_step_50,center_seen_at_step_100,center_seen_at_step_150,mean_loss,mean_q_loss,eval_reward_mean,eval_coverage_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_seen_coverage_mean,eval_center_seen_coverage_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,eval_seen_at_step_50_mean,eval_seen_at_step_100_mean,eval_seen_at_step_150_mean,eval_center_seen_at_step_50_mean,eval_center_seen_at_step_100_mean,eval_center_seen_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_seen_coverage_mean,holdout_eval_center_seen_coverage_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,holdout_eval_seen_at_step_50_mean,holdout_eval_seen_at_step_100_mean,holdout_eval_seen_at_step_150_mean,holdout_eval_center_seen_at_step_50_mean,holdout_eval_center_seen_at_step_100_mean,holdout_eval_center_seen_at_step_150_mean,eval_soft_score
1,177,0.9981316666666666,-2.8743927698135376,0.35555555555555557,177,0.4463276836158192,0.13559322033898305,0.0,0.12994350282485875,0.0,0.8711111111111111,0.9526627218934911,0.5819209039548022,0.22033898305084745,0.1977401129943503,17.0,0.15254237288135594,0.05666666666666667,120.2608835220336,0.00291957867619343,0.6569052021435218,0.9983452360519014,0.005649717514124294,0.6274509803921569,0.14666666666666667,0.24444444444444444,0.3022222222222222,0.6,0.7822222222222223,0.8533333333333334,0.727810650887574,0.863905325443787,0.9349112426035503,0.0,0.0,-471.7,0.0044444444444444444,250.0,1.0,0.0,0.0,0.0,0.0,0.9960000000000001,0.0,0.11111111111111112,0.14792899408284027,0.0,0.0,1.0,250.0,0.9800000000000001,0.0,74.99999999999964,0.0,0.0,0.2411092147648631,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.14792899408284027,0.14792899408284027,0.14792899408284027,-443.98332876539223,0.0044444444444444444,240.7,0.9,0.1,0.0,0.0,0.0,0.9957630573248408,0.0,0.11111111111111112,0.14792899408284027,0.0,0.0,1.0,240.7,0.9788152866242038,0.0,77.53932157516451,0.0,0.0,0.247009682888193,0.0,0.0,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.14792899408284027,0.14792899408284027,0.14792899408284027,0.22780802103879028
2,427,0.9954927777777778,0.007002574682237417,0.5511111111111111,250,0.492,0.068,0.02,0.124,0.0,1.0,1.0,0.58,0.192,0.228,11.0,0.072,0.054666666666666676,159.79045166969334,0.003421147264773332,0.7697581345739997,0.9964852813742386,0.004,0.7972972972972973,0.08888888888888889,0.19555555555555557,0.30666666666666664,0.39555555555555555,0.7733333333333333,0.8044444444444444,0.4911242603550296,0.8816568047337278,0.8994082840236687,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,623,0.9934238888888889,-1.6022491140365596,0.37777777777777777,196,0.42857142857142855,0.14795918367346939,0.0,0.09693877551020408,0.0,0.7644444444444445,0.8106508875739645,0.576530612244898,0.20918367346938777,0.21428571428571427,14.0,0.15306122448979592,0.047195767195767194,120.01189632415742,0.0031108027184650394,0.6999306116546338,0.9970112936855771,0.00510204081632653,0.640625,0.1511111111111111,0.27555555555555555,0.3422222222222222,0.5244444444444445,0.7422222222222222,0.76,0.5739644970414202,0.7988165680473372,0.8106508875739645,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,796,0.9915977777777778,-2.104551267385481,0.32,173,0.41040462427745666,0.12138728323699421,0.0,0.16184971098265896,0.0,0.6888888888888889,0.7337278106508875,0.5317919075144508,0.21965317919075145,0.24855491329479767,16.0,0.11560693641618497,0.04557625948930296,100.443345403671,0.003141627295341187,0.7068661414517671,0.9858987163717635,0.023121387283236993,0.7169811320754716,0.13777777777777778,0.20444444444444446,0.28,0.4666666666666667,0.5333333333333333,0.6355555555555555,0.5029585798816568,0.5562130177514792,0.6804733727810651,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,982,0.9896344444444445,0.9697104918956758,0.5155555555555555,186,0.6182795698924731,0.021505376344086023,0.005376344086021506,0.08064516129032258,0.0,0.9288888888888889,0.9644970414201184,0.6451612903225806,0.1827956989247312,0.17204301075268819,4.0,0.0,0.07025252525252525,120.32656674385039,0.004247699613994287,0.9557324131487146,0.9833190388467663,0.0,0.9411764705882353,0.1288888888888889,0.24444444444444444,0.40444444444444444,0.5066666666666667,0.7111111111111111,0.9066666666666666,0.5798816568047337,0.7988165680473372,0.9526627218934911,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1214,0.9871855555555555,-0.6286221556663499,0.5022222222222222,232,0.4827586206896552,0.10344827586206896,0.0,0.15086206896551724,0.0,0.9777777777777777,0.9940828402366864,0.5862068965517241,0.1810344827586207,0.23275862068965517,21.0,0.13793103448275862,0.056634920634920635,140.30116338729835,0.003547923379677708,0.7982827604274841,0.9949501169170095,0.004310344827586207,0.7049180327868853,0.12444444444444444,0.21333333333333335,0.3377777777777778,0.4622222222222222,0.6133333333333333,0.7288888888888889,0.5088757396449705,0.6390532544378699,0.7810650887573964,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1399,0.9852327777777777,-2.5737523384094247,0.29777777777777775,185,0.3567567567567568,0.12972972972972974,0.0,0.1945945945945946,0.0,0.64,0.6804733727810651,0.4864864864864865,0.2972972972972973,0.21621621621621623,28.0,0.15675675675675677,0.039166666666666655,100.51192703247038,0.002918393289172259,0.6566384900637583,0.9945489936841229,0.03783783783783784,0.6779661016949152,0.1111111111111111,0.21777777777777776,0.24444444444444444,0.39111111111111113,0.6266666666666667,0.6266666666666667,0.4319526627218935,0.6804733727810651,0.6804733727810651,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1620,0.9829,-3.4722756395339953,0.35555555555555557,221,0.3574660633484163,0.14479638009049775,0.0,0.17647058823529413,0.0,0.6666666666666666,0.6982248520710059,0.502262443438914,0.27149321266968324,0.22624434389140272,14.0,0.18099547511312217,0.03920047031158142,130.488339424133,0.0026907470250646425,0.6054180806395445,0.9946987652703448,0.01809954751131222,0.6338028169014085,0.13333333333333333,0.21333333333333335,0.29777777777777775,0.4577777777777778,0.5111111111111111,0.6533333333333333,0.5266272189349113,0.5562130177514792,0.6982248520710059,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1801,0.9809894444444445,-4.814371257066728,0.4088888888888889,181,0.5027624309392266,0.04419889502762431,0.0718232044198895,0.143646408839779,0.0,0.9333333333333333,1.0,0.6187845303867403,0.1878453038674033,0.19337016574585636,23.0,0.12154696132596685,0.055833333333333346,120.03210721015907,0.003369468835003622,0.7581304878758148,0.9433124828651182,0.022099447513812154,0.7142857142857143,0.13333333333333333,0.24,0.36444444444444446,0.48444444444444446,0.8088888888888889,0.9244444444444444,0.5325443786982249,0.9289940828402367,0.9881656804733728,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1970,0.9792055555555556,-1.0387588655948634,0.3466666666666667,169,0.4556213017751479,0.11834319526627218,0.0,0.11834319526627218,0.0,0.7644444444444445,0.8461538461538461,0.5739644970414202,0.20710059171597633,0.21893491124260356,8.0,0.023668639053254437,0.04989139515455305,100.37865586280797,0.0034093126599538527,0.7670953484896168,0.9965338080613794,0.011834319526627219,0.7115384615384616,0.1288888888888889,0.22666666666666666,0.3244444444444444,0.4577777777777778,0.6622222222222223,0.7644444444444445,0.5502958579881657,0.7928994082840237,0.8461538461538461,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
