update,episodes_seen,global_step,rollout_ext_reward_mean,rollout_int_reward_mean,train_reward_mean,train_coverage_mean,train_final_health_mean,train_length_mean,train_new_tile_rate_mean,train_revisit_rate_mean,train_wall_hit_rate_mean,train_turn_streak_rate_mean,train_hazard_contact_rate_mean,train_action_forward_rate_mean,train_action_left_rate_mean,train_action_right_rate_mean,train_max_no_new_tile_streak_mean,train_stagnation_step_rate_mean,train_coverage_gain_25_mean,train_turn_oscillation_rate_mean,train_forward_after_turn_success_rate_mean,train_coverage_at_step_50_mean,train_coverage_at_step_100_mean,train_coverage_at_step_150_mean,mean_total_loss,mean_policy_loss,mean_ext_value_loss,mean_int_value_loss,mean_rnd_loss,mean_entropy,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,3,1024,-0.05005350708961487,0.3876214027404785,-7.604311466217041,0.09777777777777778,0.0,95.66666666666667,0.21007256470165347,0.08110172537742631,0.028645833333333332,0.44655935478073333,0.018539944284687276,0.3198201234124131,0.3565199646537263,0.3236599119338605,18.666666666666668,0.26553326443805414,0.020437389770723107,0.08400918104481188,0.6556776556776557,0.05925925925925926,0.10666666666666666,nan,8.715758264064789,-0.00632023811340332,0.36394760198891163,17.104825139045715,0.009645181999076158,1.0976562201976776,-65.81592469451428,0.035555555555555556,0.0,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,1.0,0.0,0.0,101.4,0.8789181236673775,0.006585185185185184,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-59.75608350169658,0.035555555555555556,0.0,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,1.0,0.0,0.0,96.3,0.8750752603891858,0.006844444444444445,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-0.14156729779673066
2,9,2048,-0.05497495457530022,0.11677782237529755,-7.796162048975627,0.15333333333333332,-0.3333333333333333,154.5,0.21586780552327967,0.10710269991839116,0.031796700610641764,0.42478262372004866,0.008919434611232457,0.3547672060523126,0.305959415891693,0.33927337805599445,22.166666666666668,0.30513955168451873,0.024225671750181556,0.053622150495957775,0.5717261904761904,0.06444444444444446,0.1074074074074074,0.14666666666666664,0.599460057914257,-0.009093231754377484,0.2774745849892497,0.9746622666716576,0.003961984009947628,1.0738566219806671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,19,3072,-0.04051025211811066,0.06059923768043518,-7.181284856796265,0.17066666666666666,-0.3,142.9,0.2719319212748194,0.1011416320076158,0.07172310058351578,0.31491706186761753,0.007410036318098373,0.444796653865951,0.2708601324928889,0.28434321364116,22.2,0.2740934448549405,0.030973034716047614,0.042900942548922016,0.5749110736058306,0.07333333333333333,0.12543209876543213,0.16666666666666669,0.22882924042642117,-0.0004879026673734188,0.15680660400539637,0.33532839454710484,0.002367514738580212,0.9558933824300766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,29,4096,-0.04738824814558029,0.05139557644724846,-4.636307907104492,0.16311111111111112,-0.1,110.0,0.33192546507821313,0.13739855983357405,0.07159081467417103,0.20784664189839713,0.01696298343648091,0.5409148395859582,0.21096412237890605,0.24812103803513574,18.4,0.20307919355097065,0.03630520895226778,0.017103594149523452,0.580589954537323,0.09066666666666667,0.152,0.25333333333333335,0.1574088043998927,-0.0002655657008290291,0.0832497850060463,0.26796265691518784,0.0021366399159887806,1.0034246146678925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,39,5120,-0.045997776091098785,0.04552818462252617,-5.159978914260864,0.16533333333333333,-0.1,103.1,0.35826548796503227,0.10512345238406975,0.10614819220946443,0.18832431709543443,0.015482355709389859,0.5695371325585665,0.20167320929790367,0.2287896581435299,15.3,0.15360069010470867,0.03850854356772231,0.017576163215985603,0.633039817485033,0.09066666666666666,0.1688888888888889,nan,0.15853629680350423,-0.0036193979904055595,0.13820425979793072,0.21805784292519093,0.0017589055933058262,0.8867130503058434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,45,6144,-0.045378051698207855,0.037544965744018555,-5.223667025566101,0.2088888888888889,-0.16666666666666666,122.0,0.3906771674358085,0.12270557578510667,0.13555699167840898,0.1282408320776079,0.010288803873329639,0.6489397348993241,0.20997735084706667,0.14108291425360922,20.0,0.230180958308459,0.04431618695361386,0.014600546491523871,0.622744388687906,0.10074074074074074,0.1608888888888889,0.23555555555555555,0.11736542545258999,-0.0026911327149719,0.14853642974048853,0.12653041537851095,0.0013980800431454554,0.9437472969293594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,55,7168,-0.03887413442134857,0.041499197483062744,-4.947614324092865,0.19777777777777777,0.0,121.1,0.38039807105811063,0.13125644441462478,0.12977525297438924,0.1235375830365438,0.012304556162747619,0.6414297684471247,0.18095444967338975,0.17761578187948562,17.5,0.1954735926701996,0.041590045647888776,0.012035374807636435,0.604045092620944,0.10488888888888888,0.17277777777777775,0.16666666666666669,0.13617459638044238,-0.0023170621134340763,0.108126450330019,0.20206055603921413,0.0013821505708619952,0.8991997987031937,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,62,8192,-0.0407077819108963,0.03268652781844139,-5.258866684777396,0.22603174603174603,-0.14285714285714285,129.57142857142858,0.3885614806283425,0.11818120299365885,0.13749292583118541,0.12172531237996113,0.011026031792669413,0.6442356094531868,0.18573292968375066,0.1700314608630626,17.571428571428573,0.18817940373337794,0.04361426051902242,0.007410463978701466,0.6085322335322336,0.11238095238095237,0.18074074074074076,0.2222222222222222,0.12430529110133648,-0.001354302279651165,0.15931469947099686,0.1264211442321539,0.0010552217572694644,0.9131777137517929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,72,9216,-0.0408315435051918,0.04008158668875694,-4.789949107170105,0.2071111111111111,-0.1,115.6,0.40470763596960835,0.14610453147946295,0.10699853041062812,0.11206745246138675,0.013340263206968619,0.6578106978596995,0.17793733148690383,0.16425197065339675,16.2,0.17814665646914235,0.04394049626955806,0.007871682619808223,0.5798088071352065,0.10311111111111111,0.19999999999999998,0.2474074074074074,0.11005359003320336,-0.0022298344993032515,0.10293704271316528,0.15496947430074215,0.0012161626073066145,0.8942998722195625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,82,10240,-0.03910776972770691,0.03298941254615784,-4.360502767562866,0.1888888888888889,-0.3,106.3,0.4035942746009594,0.13069035914460064,0.09717401924311357,0.11494631693682607,0.0169238448792443,0.6314586529886737,0.20992000640847736,0.15862134060284902,18.2,0.1696765060083924,0.04633163337637022,0.011393760349268204,0.6106770325685134,0.11022222222222222,0.18222222222222223,0.26666666666666666,0.08554798364639282,0.0004373814444988966,0.08928265236318111,0.11596989072859287,0.0009710643134894781,0.924336813390255,-65.81592469451428,0.035555555555555556,0.0,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,1.0,0.0,0.0,101.4,0.8789181236673775,0.006585185185185184,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-59.75608350169658,0.035555555555555556,0.0,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,1.0,0.0,0.0,96.3,0.8750752603891858,0.006844444444444445,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-0.14156729779673066
