update,episodes_seen,global_step,rollout_ext_reward_mean,rollout_int_reward_mean,train_reward_mean,train_coverage_mean,train_final_health_mean,train_length_mean,train_new_tile_rate_mean,train_revisit_rate_mean,train_wall_hit_rate_mean,train_turn_streak_rate_mean,train_hazard_contact_rate_mean,train_action_forward_rate_mean,train_action_left_rate_mean,train_action_right_rate_mean,train_max_no_new_tile_streak_mean,train_stagnation_step_rate_mean,train_coverage_gain_25_mean,train_turn_oscillation_rate_mean,train_forward_after_turn_success_rate_mean,train_coverage_at_step_50_mean,train_coverage_at_step_100_mean,train_coverage_at_step_150_mean,mean_total_loss,mean_policy_loss,mean_ext_value_loss,mean_int_value_loss,mean_rnd_loss,mean_entropy,mean_turn_balance_loss,mean_turn_floor_loss,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,3,1024,-0.04393203184008598,0.39622214436531067,-6.613799254099528,0.16,-0.3333333333333333,118.66666666666667,0.2934472934472934,0.0642043142043142,0.07885632885632886,0.29120879120879123,0.0117012617012617,0.4365079365079365,0.31155881155881154,0.25193325193325194,14.333333333333334,0.20182132682132684,0.03479012345679012,0.049297924297924296,0.7176527176527178,0.08296296296296296,0.14074074074074075,nan,9.381424307823181,-0.0016024699434638023,0.39076177403330803,18.398406505584717,0.00903453805949539,1.0296084880828857,7.79983973764331e-06,0.0,-75.43081743428708,0.03955555555555555,0.0,120.8,0.0,1.0,0.06631695515342251,0.0,0.9320635851035929,0.0,0.0,0.9983805402570155,0.0,0.001619459742984527,112.7,0.8899067625791466,0.006555555555555555,0.0,0.2,0.03955555555555555,0.04,nan,-72.11516732447147,0.03955555555555555,0.0,117.8,0.0,1.0,0.06800570662638111,0.0,0.9295549438668207,0.0,0.0,0.9975606504932019,0.0,0.002439349506798187,109.6,0.8862351804598138,0.006918518518518518,0.0,0.3,0.03955555555555555,0.04,nan,-0.1364236162251945
2,10,2048,-0.04750286415219307,0.14162811636924744,-8.383555344172887,0.21333333333333335,0.0,164.85714285714286,0.30110948052538655,0.0888196652108393,0.1010050492522631,0.23339911285433979,0.004493275911240011,0.490934194988489,0.24513480254224793,0.2639310024692631,36.142857142857146,0.2684984652414147,0.03302514973796438,0.020978581261914955,0.6016063062235796,0.10095238095238097,0.1562962962962963,0.17444444444444446,1.0385275930166245,-0.004289507283829153,0.3232527878135443,1.7936114072799683,0.004013921687146649,0.9815588817000389,7.504842969296988e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,15,3072,-0.03675954043865204,0.06294181942939758,-6.473253536224365,0.23022222222222224,0.0,142.8,0.36004494067056136,0.06680990776819973,0.1122923198543854,0.17905175374887392,0.005008872508872509,0.5391471682931464,0.223911800443578,0.2369410312632755,22.6,0.1972456122729211,0.03981022758917496,0.012836929644278206,0.6921468501793795,0.09955555555555555,0.18044444444444446,0.27555555555555555,0.20862416876479983,-0.0021722614765167236,0.1532583311200142,0.2990120444446802,0.0024000834673643112,0.8877460137009621,0.0005359521219361341,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,23,4096,-0.03880038857460022,0.048285339027643204,-5.591801106929779,0.25,0.0,154.25,0.3685441320394422,0.08210787866739888,0.14335904777563035,0.13256674449407824,0.00600480181595949,0.5940110584824714,0.19030930146724656,0.21567964005028198,20.625,0.1801297329464686,0.03945339456710985,0.009934079798895653,0.6702486107185033,0.10833333333333334,0.18476190476190477,0.26666666666666666,0.1983044226653874,-0.0016712684300728142,0.12818406522274017,0.30471677146852016,0.002016568643739447,0.9259382858872414,0.00091574432502739,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,30,5120,-0.032144952565431595,0.039393287152051926,-5.539738893508911,0.2761904761904762,-0.14285714285714285,162.28571428571428,0.37041035572479075,0.07530906214458696,0.14159041206152823,0.1369210179314666,0.0037479008842306863,0.587309829930906,0.2037926752318919,0.20889749483720207,18.571428571428573,0.19006291991804986,0.04172536654018135,0.011799210387950213,0.639393470012571,0.10857142857142857,0.18412698412698414,0.264,0.10992073733359575,0.0009783930145204067,0.0635348865762353,0.1894528642296791,0.0016103517555166036,0.9591715857386589,0.0007181840810517315,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,38,6144,-0.04031804949045181,0.039956770837306976,-4.256174266338348,0.1988888888888889,-0.125,111.0,0.424582931071941,0.07781145162177364,0.08795080857759732,0.12848316668074547,0.018009966075116554,0.590345191271312,0.2437871092367175,0.1658676994919705,15.125,0.1133469563768215,0.0472771570749512,0.010295735637986025,0.7213480762745468,0.11833333333333332,0.17333333333333334,0.23555555555555557,0.12158271134831011,-0.0021504077594727278,0.09402708522975445,0.1895455764606595,0.0015512013051193208,0.9814519211649895,0.0008206380681343717,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,46,7168,-0.03741846978664398,0.03251304477453232,-5.880879908800125,0.24166666666666667,-0.25,150.75,0.36001769511894,0.06993718521804859,0.1245647755486092,0.16335497638427343,0.007242426719728509,0.5545196558855978,0.2120850193745523,0.23339532473984986,20.125,0.183815976817757,0.04054013397143665,0.02194379752679894,0.6808464181121797,0.10777777777777778,0.17333333333333334,0.2651851851851852,0.10909878788515925,-0.00344702135771513,0.09678268525749445,0.1627407670021057,0.0013337016134755686,0.9287434220314026,0.0008417470126005355,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,54,8192,-0.04226384311914444,0.03310546278953552,-5.363718569278717,0.22833333333333333,-0.25,136.25,0.3893625120395273,0.07232749884788867,0.1286644210684746,0.1522223960813739,0.007905197505900319,0.5903544319558905,0.1772534161929052,0.23239215185120426,18.5,0.17335965390533242,0.042827686134204505,0.008534131897475834,0.651399942325807,0.10388888888888889,0.1765079365079365,0.2340740740740741,0.13124535232782364,3.572087734937668e-05,0.16313288360834122,0.13413207046687603,0.0012161292979726568,0.9337475821375847,0.0011990911152679473,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,62,9216,-0.04258204996585846,0.028678301721811295,-5.268446922302246,0.18,0.0,107.625,0.3794534373969446,0.08776584988127667,0.13004814784312047,0.11530594672663322,0.014734783041627057,0.5972674351213418,0.18560775381464248,0.21712481106401577,20.625,0.19435293641942747,0.04155278980278981,0.007860284876413909,0.6494139691829909,0.10555555555555556,0.16888888888888892,0.2577777777777778,0.10363650869112462,-0.0006562094204127789,0.1319139041006565,0.11091026198118925,0.001091093392460607,0.9159590974450111,0.0036240859190002084,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,68,10240,-0.047755591571331024,0.0271458737552166,-6.016851266225179,0.2111111111111111,-0.16666666666666666,136.83333333333334,0.3400869972513105,0.11118591245677252,0.13726004086722957,0.11999316458751631,0.008576699723041186,0.5885329505753126,0.18160945515759377,0.22985759426709362,21.0,0.22543751080849925,0.0370353468547913,0.009762057844214455,0.6092958263674376,0.1051851851851852,0.19555555555555554,0.22666666666666668,0.10151099902577698,0.0005620827141683549,0.16533973813056946,0.07177943829447031,0.0010611948528094217,0.9502218812704086,0.01108560711145401,0.0,-75.43081743428708,0.03955555555555555,0.0,120.8,0.0,1.0,0.06631695515342251,0.0,0.9320635851035929,0.0,0.0,0.9983805402570155,0.0,0.001619459742984527,112.7,0.8899067625791466,0.006555555555555555,0.0,0.2,0.03955555555555555,0.04,nan,-72.11516732447147,0.03955555555555555,0.0,117.8,0.0,1.0,0.06800570662638111,0.0,0.9295549438668207,0.0,0.0,0.9975606504932019,0.0,0.002439349506798187,109.6,0.8862351804598138,0.006918518518518518,0.0,0.3,0.03955555555555555,0.04,nan,-0.1364236162251945
