update,episodes_seen,global_step,rollout_ext_reward_mean,rollout_int_reward_mean,train_reward_mean,train_coverage_mean,train_final_health_mean,train_length_mean,train_new_tile_rate_mean,train_revisit_rate_mean,train_wall_hit_rate_mean,train_turn_streak_rate_mean,train_hazard_contact_rate_mean,train_action_forward_rate_mean,train_action_left_rate_mean,train_action_right_rate_mean,train_max_no_new_tile_streak_mean,train_stagnation_step_rate_mean,train_coverage_gain_25_mean,train_turn_oscillation_rate_mean,train_forward_after_turn_success_rate_mean,train_coverage_at_step_50_mean,train_coverage_at_step_100_mean,train_coverage_at_step_150_mean,mean_total_loss,mean_policy_loss,mean_ext_value_loss,mean_int_value_loss,mean_rnd_loss,mean_entropy,mean_turn_balance_loss,mean_turn_floor_loss,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,0,64,-0.025542158633470535,0.4955105483531952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.122364282608032,-0.0033331653103232384,0.089742386713624,16.18281888961792,0.010090780910104513,1.0337222218513489,2.3107030258984196e-05,0.0,-81.28541108667851,0.035555555555555556,0.0,125.5,0.0,1.0,0.05577777777777777,0.0,0.9442222222222222,0.0,0.0,1.0,0.0,0.0,118.5,0.9043809523809524,0.005703703703703704,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-81.88,0.035555555555555556,0.0,126.0,0.0,1.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.0,1.0,0.0,0.0,119.0,0.9047619047619048,0.005185185185185185,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-0.1465866666666667
2,0,128,-0.046720340847969055,0.4108167588710785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.588099956512451,-0.0018040696159005165,0.1204040627926588,11.084673643112183,0.007939636241644621,1.0313673317432404,0.0017666168278083205,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0,192,-0.018298227339982986,0.2653602957725525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7522472143173218,0.0004719402641057968,0.03244795184582472,3.500706136226654,0.00572156987618655,1.0263650119304657,0.00013321419464773498,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1,256,-0.04111696407198906,0.1069982498884201,-7.554442882537842,0.18666666666666668,0.0,126.0,0.3253968253968254,0.07142857142857142,0.06349206349206349,0.2777777777777778,0.007936507936507936,0.4603174603174603,0.2857142857142857,0.25396825396825395,14.0,0.19047619047619047,0.03037037037037037,0.07142857142857142,0.696969696969697,0.08444444444444445,0.16,nan,0.28707653656601906,-0.0022593786707147956,0.15384548902511597,0.4582042694091797,0.0032208168413490057,0.9955218434333801,2.157576131622818e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1,320,-0.018725894391536713,0.10309191048145294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1610106322914362,-0.006315419916063547,0.03883255971595645,0.32846197485923767,0.002608380455058068,0.9508592337369919,0.0029193928858148865,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,2,384,-0.025329455733299255,0.05951377749443054,-2.680230140686035,0.31555555555555553,0.0,172.0,0.4069767441860465,0.0755813953488372,0.040697674418604654,0.1686046511627907,0.0,0.5232558139534884,0.19767441860465115,0.27906976744186046,12.0,0.08139534883720931,0.045050505050505056,0.01744186046511628,0.7547169811320755,0.09777777777777778,0.17333333333333334,0.28444444444444444,0.2347021959722042,-0.001544312632177025,0.030827606562525034,0.47323647886514664,0.001960251509444788,0.9058780074119568,0.012392283882945776,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,3,448,-0.01736859790980816,0.0596957728266716,-1.9981573820114136,0.18666666666666668,0.0,73.0,0.5616438356164384,0.0136986301369863,0.0684931506849315,0.0684931506849315,0.0273972602739726,0.6438356164383562,0.1232876712328767,0.2328767123287671,4.0,0.0,0.0622866344605475,0.0136986301369863,0.95,0.13333333333333333,nan,nan,0.1879919432103634,-0.01714008767157793,0.0107793805655092,0.4275896027684212,0.0017900773091241717,0.8081451952457428,0.010678618215024471,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,3,512,-0.06210937723517418,0.04507441818714142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20246712490916252,0.0033324805554002523,0.3954322561621666,0.02671004505828023,0.0019606888527050614,0.7004267126321793,0.003711333207320422,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,3,576,-0.035524964332580566,0.0606546550989151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13577115163207054,0.000365381536539644,0.14548465237021446,0.15080124139785767,0.0018607768579386175,0.7343063354492188,0.0029390930430963635,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,3,640,-0.02434200793504715,0.05767429620027542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05874596443027258,-0.00016635481733828783,0.0444463025778532,0.09668292850255966,0.001522038917755708,0.663520872592926,0.003202748252078891,0.0,-81.28541108667851,0.035555555555555556,0.0,125.5,0.0,1.0,0.05577777777777777,0.0,0.9442222222222222,0.0,0.0,1.0,0.0,0.0,118.5,0.9043809523809524,0.005703703703703704,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-81.88,0.035555555555555556,0.0,126.0,0.0,1.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.0,1.0,0.0,0.0,119.0,0.9047619047619048,0.005185185185185185,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-0.1465866666666667
