update,episodes_seen,global_step,rollout_ext_reward_mean,rollout_int_reward_mean,train_reward_mean,train_coverage_mean,train_final_health_mean,train_length_mean,train_new_tile_rate_mean,train_revisit_rate_mean,train_wall_hit_rate_mean,train_turn_streak_rate_mean,train_hazard_contact_rate_mean,train_action_forward_rate_mean,train_action_left_rate_mean,train_action_right_rate_mean,train_max_no_new_tile_streak_mean,train_stagnation_step_rate_mean,train_coverage_gain_25_mean,train_turn_oscillation_rate_mean,train_forward_after_turn_success_rate_mean,train_coverage_at_step_50_mean,train_coverage_at_step_100_mean,train_coverage_at_step_150_mean,mean_total_loss,mean_policy_loss,mean_ext_value_loss,mean_int_value_loss,mean_rnd_loss,mean_entropy,mean_turn_balance_loss,mean_turn_floor_loss,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
1,3,1024,-0.03408011049032211,0.42848485708236694,-6.997303644816081,0.15407407407407406,0.0,118.66666666666667,0.2816836151681887,0.07377159373529608,0.09068648633076944,0.2781114664054773,0.008443042472080584,0.44614169523425423,0.30679668519958897,0.2470616195661568,15.666666666666666,0.19634094815583017,0.028368606701940035,0.04361958536187211,0.7105429292929294,0.08296296296296296,0.14222222222222222,nan,10.534335970878601,-0.002922646701335907,0.20137799251824617,20.896496772766113,0.008909965050406754,1.0295343548059464,6.455881248257356e-05,0.0,-75.43081743428708,0.03955555555555555,0.0,120.8,0.0,1.0,0.06631695515342251,0.0,0.9320635851035929,0.0,0.0,0.9983805402570155,0.0,0.001619459742984527,112.7,0.8899067625791466,0.006555555555555555,0.0,0.2,0.03955555555555555,0.04,nan,-72.11182102441788,0.03955555555555555,0.0,117.9,0.0,1.0,0.06792441682825077,0.0,0.9288233356836477,0.0,0.0,0.9967477525118985,0.000819672131147541,0.0024325753569539926,109.6,0.8855374430258618,0.006918518518518518,0.0,0.3,0.03955555555555555,0.04,nan,-0.1364236162251945
2,11,2048,-0.045319825410842896,0.1525079756975174,-5.327360600233078,0.21500000000000002,-0.5,137.5,0.36111126093693496,0.05956911500373649,0.059461982569683096,0.23560881506967293,0.01942423002047828,0.4801423585103546,0.24525089626612082,0.2746067452235246,13.125,0.12545242747830104,0.041550998445187046,0.025965579786743038,0.7584586900798055,0.0907936507936508,0.16177777777777777,0.22333333333333333,0.9647425264120102,-0.0020065438002347946,0.23729843832552433,1.7272730469703674,0.004050851101055741,0.9794616252183914,5.717664055282512e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,20,3072,-0.046168915927410126,0.06272896379232407,-5.36728490723504,0.2069135802469136,-0.2222222222222222,123.77777777777777,0.3951000085236525,0.06321107386028615,0.09385120638695335,0.1667235754056215,0.014381815263036177,0.552162288770892,0.22491493699388757,0.22292277423522033,14.555555555555555,0.14061401408950502,0.041872245036790386,0.01439111881778458,0.7311890521974556,0.09611111111111112,0.17396825396825397,0.2074074074074074,0.23286743182688951,0.00021800457034260035,0.1250067837536335,0.37195499800145626,0.0023573120997752994,0.9095695465803146,8.767729377723299e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,28,4096,-0.03639434278011322,0.04490837827324867,-5.2093455493450165,0.19333333333333333,0.0,114.75,0.3766187612591085,0.08603908690462797,0.12367452472564422,0.14822383464504257,0.011197901747712475,0.5863323728893807,0.2015823509311359,0.21208527617948345,20.375,0.18748221506684554,0.042107794647649716,0.010658130634391083,0.6599773116317234,0.10388888888888889,0.16634920634920633,0.25333333333333335,0.16242338716983795,-9.063258767127991e-05,0.13348971400409937,0.22648753970861435,0.0018659501656657085,0.9670482724905014,1.3515689820664534e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,33,5120,-0.05399010330438614,0.03175985813140869,-7.586180591583252,0.24266666666666664,0.0,163.6,0.3272124007570272,0.08117775676779176,0.15305381684703132,0.16718352863359198,0.003743461842917581,0.5614439743718502,0.20585252928465922,0.23270349634349055,33.6,0.25256387589470053,0.03670843825745786,0.018020696081782497,0.5874528738706893,0.10222222222222221,0.16711111111111113,0.20296296296296293,0.20722323469817638,-0.0024861744605004787,0.3094763960689306,0.14194063190370798,0.00165682724036742,0.8828009516000748,3.313474294941443e-06,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,42,6144,-0.03958718851208687,0.041156306862831116,-7.51358249452379,0.24000000000000002,-0.3333333333333333,151.66666666666666,0.3539325056604776,0.08889527221994621,0.1689910303954966,0.12416043456786009,0.0032053522428215162,0.6118188082759204,0.1970549603418977,0.19112623138218188,25.77777777777778,0.2439382705946038,0.039059038919605375,0.012163770464504755,0.5943122061084117,0.10814814814814816,0.18222222222222223,0.22755555555555557,0.17073362227529287,0.0006032773526385427,0.1701162587851286,0.2047872096300125,0.0015641197969671339,0.9442913755774498,1.0609304915476514e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,49,7168,-0.046804748475551605,0.02964383363723755,-5.876088125365121,0.2361904761904762,0.0,144.42857142857142,0.3784143570584723,0.08535316704023176,0.1559819050271928,0.12154337197849643,0.003674456989038243,0.6197494291258969,0.17488614504244884,0.20536442583165426,24.714285714285715,0.22905673028927445,0.04208962730391302,0.010886155644651816,0.6283460061905334,0.11936507936507935,0.2038095238095238,0.22488888888888886,0.16921371221542358,0.0005274061113595963,0.2166689457371831,0.15412882063537836,0.0012127453810535371,0.8962735012173653,5.1767922446543935e-06,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,54,8192,-0.038603466004133224,0.029506580904126167,-4.835963487625122,0.24177777777777779,0.0,131.6,0.41883625799385926,0.06404058505065095,0.13315243160137985,0.11836674590994353,0.008596068110918703,0.6160292746458901,0.18643556741924985,0.19753515793486,19.6,0.1673334338692513,0.045994255479969756,0.007475973739379896,0.6824161770466117,0.12444444444444444,0.2026666666666667,0.24222222222222223,0.10806770343333483,0.00020920764654874802,0.15549760032445192,0.09531005658209324,0.0011303634528303519,0.9338539317250252,4.619158099217202e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,60,9216,-0.030234770849347115,0.03093542717397213,-6.537764072418213,0.25851851851851854,0.0,161.83333333333334,0.3679074396613156,0.084983259837911,0.16623205084929893,0.1135609920978138,0.005832587954680978,0.6191227503485256,0.1951618911163485,0.185715358535126,22.166666666666668,0.20906425341987359,0.040008083480305705,0.008863832313444717,0.6351298084631417,0.1111111111111111,0.1928888888888889,0.24333333333333335,0.09354180772788823,-0.0035994203644804657,0.13508364744484425,0.09392447583377361,0.0010710842470871285,0.9217397943139076,2.938354947445987e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,67,10240,-0.028639070689678192,0.02862217091023922,-4.201066766466413,0.3244444444444445,-0.2857142857142857,176.85714285714286,0.4117629654022676,0.10965068821894297,0.05648982010097281,0.13241967105316516,0.0028797643459297596,0.5779034737221833,0.23250099233362867,0.189595533944188,23.857142857142858,0.16295118658061644,0.04597673637356177,0.015945367364484566,0.7026915117035092,0.11936507936507935,0.19428571428571426,0.28074074074074074,0.06605930998921394,0.0007409953977912664,0.0835807928815484,0.08253927156329155,0.0009485661139478907,0.9345264434814453,8.247333085797948e-06,0.0,-73.64994146220684,0.04488888888888889,0.0,120.5,0.0,1.0,0.07647457165893973,0.0,0.9210595276489955,0.0,0.0,0.9975340993079354,0.0024659006920647723,0.0,111.1,0.8788027317841065,0.00762222222222222,0.0,0.2,0.04488888888888889,0.045925925925925926,nan,-71.23261693060398,0.03955555555555555,0.0,117.0,0.0,1.0,0.06845064544729323,0.0,0.9290543876932945,0.0,0.0,0.9975050331405878,0.001668520578420467,0.0008264462809917355,108.8,0.8854565375232177,0.006918518518518518,0.0,0.3,0.03955555555555555,0.04,nan,-0.12445874292070747
