seed,environment_set,environment_variant,seen_fraction,coverage,phase,reached_phase2,final_mode,actions,forward_actions,turns,replans,information_replans,coverage_replans,observation_surprises,object_changes,temperature_changes,smell_changes,direct_hazard_entries,meat_collected,fatigue_health_losses,health,energy,terminated,truncated,neural_phase1_decisions,neural_uncertainty_fallbacks,neural_feasibility_fallbacks
10000,diverse,balanced,0.9911111111111112,0.6133333333333333,2,True,coverage,213,172,41,79,56,23,27,4,0,110,0,3,16,0.0,9.49392685890198,True,False,0,0,0
10001,diverse,warm_hazard,0.9733333333333334,0.5466666666666666,2,True,coverage,185,142,43,81,52,29,22,3,0,111,0,3,14,0.0,9.676382112503052,True,False,0,0,0
10002,diverse,cold_hazard,1.0,0.6355555555555555,2,True,coverage,187,155,32,83,53,30,24,3,0,93,0,3,13,0.0,9.571597242355352,True,False,0,0,0
10003,diverse,resource_dense,0.9822222222222222,0.6755555555555556,2,True,coverage,244,194,50,58,32,26,80,6,0,362,0,4,17,0.0,9.249101352691653,True,False,0,0,0
10004,diverse,balanced,0.92,0.5066666666666667,2,True,coverage,188,151,37,84,70,14,25,3,0,118,0,2,14,0.0,9.571145677566523,True,False,0,0,0
10005,diverse,warm_hazard,1.0,0.6133333333333333,2,True,coverage,205,160,45,79,52,27,44,4,0,179,0,3,15,0.0,9.218159580230704,True,False,0,0,0
10006,diverse,cold_hazard,1.0,0.6888888888888889,2,True,coverage,211,173,38,87,54,33,45,4,0,185,0,3,16,0.0,9.873996496200556,True,False,0,0,0
10007,diverse,resource_dense,0.8488888888888889,0.38222222222222224,2,True,coverage,164,133,31,75,68,7,45,3,0,151,0,1,12,0.0,9.309107398986825,True,False,0,0,0
10008,diverse,balanced,0.92,0.52,2,True,coverage,178,147,31,59,41,18,39,4,0,172,0,3,14,0.0,9.740533351898192,True,False,0,0,0
10009,diverse,warm_hazard,1.0,0.6088888888888889,2,True,coverage,193,160,33,68,43,25,58,4,0,207,0,3,14,0.0,9.420593833923336,True,False,0,0,0
10010,diverse,cold_hazard,0.9911111111111112,0.6666666666666666,2,True,coverage,202,163,39,69,35,34,30,3,0,123,0,3,16,0.0,9.331474351882934,True,False,0,0,0
10011,diverse,resource_dense,1.0,0.6177777777777778,2,True,coverage,208,167,41,93,62,31,39,5,0,204,0,4,16,0.0,9.78103332519531,True,False,0,0,0
10012,diverse,balanced,0.9866666666666667,0.6,2,True,coverage,205,169,36,70,42,28,56,5,0,230,0,3,15,0.0,9.447770309448241,True,False,0,0,0
10013,diverse,warm_hazard,0.9911111111111112,0.6,2,True,coverage,197,158,39,83,58,25,27,3,0,109,0,3,15,0.0,9.48536219596863,True,False,0,0,0
10014,diverse,cold_hazard,0.9911111111111112,0.5688888888888889,2,True,coverage,215,170,45,96,69,27,41,4,0,181,0,3,16,0.0,9.206520700454716,True,False,0,0,0
10015,diverse,resource_dense,0.9911111111111112,0.6577777777777778,2,True,coverage,235,186,49,91,60,31,41,5,0,191,0,4,18,0.0,9.43593268394471,True,False,0,0,0
10016,diverse,balanced,0.9866666666666667,0.5955555555555555,2,True,coverage,208,172,36,70,43,27,41,5,0,191,0,3,16,0.0,9.931829214096062,True,False,0,0,0
