seed,environment_set,environment_variant,coverage,seen_fraction,termination_status,end_reason,actions,forward_actions,turns,replans,phase2_reached,phase2_start_step,plan_count,model_plan_count,expert_plan_count,fallback_count,fallback_rate,fallback_reasons,divergence_comparisons,target_divergences,target_divergence_rate,planned_action_count,trace_step_count,route_planned_to_executed_ratio,target_switches,forward_move_success_rate,initial_energy,final_energy,energy_delta,initial_health,final_health,health_delta,fatigue_health_loss,hazard_entries,direct_hazard_health_loss,contacts,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,coverage_per_action,coverage_per_forward_action,seen_per_forward_action,plans_per_100_actions,baseline_coverage,coverage_delta,baseline_seen_fraction,seen_delta,failure_score,failure_reasons
10040,standard,standard,0.37777777777777777,0.8222222222222222,terminated,unknown,134,109,25,75,True,,0,0,0,0,,{},0,0,,,,,0,,,9.985837173461913,,,0.0,,10.0,0,,{},0,,,,,,,0.0028192371475953566,0.0034658511722731903,0.007543323139653415,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10004,standard,standard,0.5066666666666667,0.92,terminated,unknown,188,151,37,84,True,,0,0,0,0,,{},0,0,,,,,0,,,9.571145677566523,,,0.0,,14.0,0,,{},0,,,,,,,0.002695035460992908,0.0033554083885209717,0.0060927152317880795,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10033,standard,standard,0.5066666666666667,0.9422222222222222,terminated,unknown,171,137,34,73,True,,0,0,0,0,,{},0,0,,,,,0,,,9.970687627792358,,,0.0,,12.0,0,,{},0,,,,,,,0.0029629629629629632,0.003698296836982969,0.006877534468775344,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10008,standard,standard,0.52,0.92,terminated,unknown,178,147,31,59,True,,0,0,0,0,,{},0,0,,,,,0,,,9.740533351898192,,,0.0,,14.0,0,,{},0,,,,,,,0.0029213483146067415,0.0035374149659863946,0.006258503401360544,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10007,standard,standard,0.5244444444444445,0.96,terminated,unknown,190,151,39,95,True,,0,0,0,0,,{},0,0,,,,,0,,,9.217264175415037,,,0.0,,14.0,0,,{},0,,,,,,,0.002760233918128655,0.0034731420161883742,0.006357615894039735,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10010,standard,standard,0.5466666666666666,0.9777777777777777,terminated,unknown,184,143,41,81,True,,0,0,0,0,,{},0,0,,,,,0,,,9.401660060882573,,,0.0,,14.0,0,,{},0,,,,,,,0.002971014492753623,0.0038228438228438224,0.006837606837606838,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10025,standard,standard,0.5555555555555556,0.9333333333333333,terminated,unknown,190,150,40,75,True,,0,0,0,0,,{},0,0,,,,,0,,,9.642343521118164,,,0.0,,14.0,0,,{},0,,,,,,,0.0029239766081871348,0.003703703703703704,0.006222222222222223,0.0,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
10042,standard,standard,0.4888888888888889,1.0,terminated,unknown,157,123,34,99,True,,0,0,0,0,,{},0,0,,,,,0,,,9.388548755645752,,,0.0,,12.0,0,,{},0,,,,,,,0.003113941967445152,0.003974706413730804,0.008130081300813009,0.0,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
10029,standard,standard,0.5022222222222222,0.9866666666666667,terminated,unknown,176,144,32,115,True,,0,0,0,0,,{},0,0,,,,,0,,,9.920105361938473,,,0.0,,14.0,0,,{},0,,,,,,,0.0028535353535353537,0.0034876543209876546,0.006851851851851852,0.0,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
10036,standard,standard,0.5377777777777778,0.9866666666666667,terminated,unknown,205,160,45,78,True,,0,0,0,0,,{},0,0,,,,,0,,,9.816104793548579,,,0.0,,15.0,0,,{},0,,,,,,,0.002623306233062331,0.003361111111111111,0.006166666666666667,0.0,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
10027,standard,standard,0.56,0.9733333333333334,terminated,unknown,192,156,36,96,True,,0,0,0,0,,{},0,0,,,,,0,,,9.692368221282951,,,0.0,,13.0,0,,{},0,,,,,,,0.002916666666666667,0.00358974358974359,0.0062393162393162395,0.0,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
10030,standard,standard,0.5866666666666667,0.9644444444444444,terminated,unknown,190,157,33,80,True,,0,0,0,0,,{},0,0,,,,,0,,,9.456447553634641,,,0.0,,14.0,0,,{},0,,,,,,,0.003087719298245614,0.0037367303609341825,0.0061429582448690725,0.0,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
10021,standard,standard,0.5911111111111111,0.9777777777777777,terminated,unknown,177,148,29,86,True,,0,0,0,0,,{},0,0,,,,,0,,,9.207505369186402,,,0.0,,13.0,0,,{},0,,,,,,,0.003339610797237916,0.003993993993993994,0.006606606606606606,0.0,,,,,7,"[""terminated"", ""fatigue_health_loss"", ""bottom_seen_quintile""]"
