seed,environment_set,environment_variant,seen_fraction,coverage,phase,reached_phase2,final_mode,actions,forward_actions,turns,replans,information_replans,coverage_replans,observation_surprises,object_changes,temperature_changes,smell_changes,direct_hazard_entries,meat_collected,fatigue_health_losses,health,energy,terminated,truncated,neural_phase1_decisions,neural_uncertainty_fallbacks,neural_feasibility_fallbacks
10000,standard,standard,0.9911111111111112,0.6133333333333333,2,True,coverage,213,172,41,79,56,23,27,4,0,110,0,3,16,0.0,9.49392685890198,True,False,0,0,0
10001,standard,standard,0.9866666666666667,0.5822222222222222,2,True,coverage,196,156,40,75,49,26,24,3,0,125,0,3,14,0.0,9.63867998123169,True,False,0,0,0
10002,standard,standard,1.0,0.5688888888888889,2,True,coverage,177,145,32,73,39,34,35,4,0,123,0,3,13,0.0,9.873570871353152,True,False,0,0,0
10003,standard,standard,0.9822222222222222,0.6177777777777778,2,True,coverage,213,168,45,56,32,24,64,5,0,280,0,3,16,0.0,9.723146820068363,True,False,0,0,0
10004,standard,standard,0.92,0.5066666666666667,2,True,coverage,188,151,37,84,70,14,25,3,0,118,0,2,14,0.0,9.571145677566523,True,False,0,0,0
10005,standard,standard,1.0,0.6888888888888889,2,True,coverage,203,163,40,80,49,31,64,5,0,267,0,3,14,0.0,8.90532832145691,True,False,0,0,0
10006,standard,standard,1.0,0.6755555555555556,2,True,coverage,204,173,31,87,55,32,29,4,0,149,0,3,15,0.0,9.97983136177063,True,False,0,0,0
10007,standard,standard,0.96,0.5244444444444445,2,True,coverage,190,151,39,95,67,28,26,3,0,115,0,2,14,0.0,9.217264175415037,True,False,0,0,0
10008,standard,standard,0.92,0.52,2,True,coverage,178,147,31,59,41,18,39,4,0,172,0,3,14,0.0,9.740533351898192,True,False,0,0,0
10009,standard,standard,1.0,0.7022222222222222,2,True,coverage,211,169,42,83,43,40,39,4,0,177,0,3,15,0.0,9.636909389495846,True,False,0,0,0
10010,standard,standard,0.9777777777777777,0.5466666666666666,2,True,coverage,184,143,41,81,56,25,39,3,0,146,0,3,14,0.0,9.401660060882573,True,False,0,0,0
