seed,environment_set,environment_variant,seen_fraction,coverage,phase,reached_phase2,final_mode,actions,forward_actions,turns,replans,information_replans,coverage_replans,observation_surprises,object_changes,temperature_changes,smell_changes,direct_hazard_entries,meat_collected,fatigue_health_losses,health,energy,terminated,truncated,neural_phase1_decisions,neural_uncertainty_fallbacks,neural_feasibility_fallbacks,end_reason,phase2_entry_step,phase2_entry_seen_fraction,phase2_entry_coverage,phase2_entry_health,phase2_entry_energy,phase1_forward_actions,phase2_forward_actions,phase1_turns,phase2_turns,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,direct_hazard_health_losses,trace_file
20000,standard,standard,0.9911111111111112,0.6088888888888889,2,True,coverage,211,172,39,81,48,33,50,5,0,201,0,3,16,0.0,9.334420108795165,True,False,0,0,0,health_zero_fatigue,58,0.8,0.2222222222222222,8.0,6.596543121337891,49,123,9,30,0,42.20000000000006,103.19999999999973,3.900000000000002,11.365579891204836,6.0,0.0,0,seed_20000.jsonl.gz
20001,standard,standard,1.0,0.5466666666666666,2,True,coverage,208,164,44,105,80,25,50,4,0,194,0,3,16,0.0,9.925338459014887,True,False,0,0,0,health_zero_fatigue,102,0.8088888888888889,0.24888888888888888,5.0,3.9533892154693575,81,83,21,23,0,41.60000000000005,98.39999999999978,4.4,15.67466154098511,6.0,0.0,0,seed_20001.jsonl.gz
20002,standard,standard,0.9955555555555555,0.6044444444444445,2,True,coverage,187,154,33,81,46,35,30,4,0,145,0,3,15,0.0,9.612889862060552,True,False,0,0,0,health_zero_fatigue,59,0.8,0.1688888888888889,9.0,5.43039255142212,47,107,12,21,0,37.39999999999999,92.39999999999984,3.3000000000000016,17.28711013793945,5.0,1.0,0,seed_20002.jsonl.gz
20003,standard,standard,0.9955555555555555,0.6933333333333334,2,True,coverage,211,170,41,76,52,24,32,4,0,155,0,3,16,0.0,9.263334226608277,True,False,0,0,0,health_zero_fatigue,65,0.8,0.23555555555555555,6.0,2.9148509025573732,53,117,12,29,0,42.20000000000006,101.99999999999974,4.100000000000001,12.436665773391727,6.0,0.0,0,seed_20003.jsonl.gz
20004,standard,standard,1.0,0.7288888888888889,2,True,coverage,221,178,43,82,49,33,40,4,0,171,0,3,16,0.0,9.335051441192633,True,False,0,0,0,health_zero_fatigue,58,0.8088888888888889,0.22666666666666666,8.0,7.151696491241458,50,128,8,35,0,44.20000000000009,106.7999999999997,4.300000000000001,5.364948558807372,6.0,0.0,0,seed_20004.jsonl.gz
20005,standard,standard,1.0,0.6888888888888889,2,True,coverage,207,168,39,84,49,35,47,4,0,210,0,3,16,0.0,9.63608980178834,True,False,0,0,0,health_zero_fatigue,57,0.8,0.21777777777777776,8.0,6.251853895187385,50,118,7,32,0,41.40000000000005,100.79999999999976,3.900000000000002,14.263910198211667,6.0,0.0,0,seed_20005.jsonl.gz
20006,standard,standard,1.0,0.7022222222222222,2,True,coverage,209,175,34,98,64,34,64,5,0,272,0,3,16,0.0,9.963311958312989,True,False,0,0,0,health_zero_fatigue,80,0.8,0.27555555555555555,7.0,2.130574226379398,65,110,15,19,0,41.800000000000054,104.99999999999972,3.4000000000000017,9.836688041687008,6.0,0.0,0,seed_20006.jsonl.gz
20007,standard,standard,1.0,0.6577777777777778,2,True,coverage,220,175,45,83,49,34,20,4,0,100,0,3,16,0.0,9.913583230972288,True,False,0,0,0,health_zero_fatigue,60,0.8044444444444444,0.2222222222222222,6.0,6.24836163520813,50,125,10,35,0,44.000000000000085,104.99999999999972,4.5,6.586416769027711,6.0,0.0,0,seed_20007.jsonl.gz
20008,standard,standard,1.0,0.6,2,True,coverage,208,166,42,74,50,24,52,5,0,204,0,3,15,0.0,9.911867094039918,True,False,0,0,0,health_zero_fatigue,63,0.8044444444444444,0.2,8.0,3.7035309314727773,51,115,12,30,0,41.60000000000005,99.59999999999977,4.200000000000001,14.688132905960083,6.0,0.0,0,seed_20008.jsonl.gz
20009,standard,standard,1.0,0.6444444444444445,2,True,coverage,199,167,32,68,41,27,22,4,0,125,0,3,15,0.0,9.267783737182619,True,False,0,0,0,health_zero_fatigue,48,0.8,0.19111111111111112,8.0,2.86814823150635,42,125,6,26,0,39.800000000000026,100.19999999999976,3.2000000000000015,7.53221626281738,5.0,1.0,0,seed_20009.jsonl.gz
20010,standard,standard,1.0,0.6844444444444444,2,True,coverage,217,180,37,90,60,30,28,3,0,109,0,3,16,0.0,9.408216762542732,True,False,0,0,0,health_zero_fatigue,73,0.8088888888888889,0.26222222222222225,5.0,6.557771110534668,61,119,12,25,0,43.40000000000008,107.99999999999969,3.700000000000002,5.491783237457275,6.0,0.0,0,seed_20010.jsonl.gz
20011,standard,standard,0.9911111111111112,0.5911111111111111,2,True,coverage,210,164,46,86,60,26,34,3,0,131,0,3,16,0.0,9.364178371429443,True,False,0,0,0,health_zero_fatigue,75,0.8044444444444444,0.24888888888888888,7.0,5.305822563171384,61,103,14,32,0,42.00000000000006,98.39999999999978,4.6,15.635821628570552,6.0,0.0,0,seed_20011.jsonl.gz
20012,standard,standard,0.9822222222222222,0.49777777777777776,2,True,coverage,165,133,32,117,88,29,17,3,0,99,0,2,11,0.0,9.892846298217766,True,False,0,0,0,health_zero_fatigue,111,0.8044444444444444,0.30666666666666664,3.0,0.6658113002777057,89,44,22,10,0,32.99999999999993,79.79999999999995,3.2000000000000015,4.107153701782226,2.0,2.0,0,seed_20012.jsonl.gz
20013,standard,standard,0.9555555555555556,0.6355555555555555,2,True,coverage,220,173,47,88,65,23,42,4,0,179,0,3,16,0.0,9.209332513809198,True,False,0,0,0,health_zero_fatigue,85,0.8133333333333334,0.27111111111111114,4.0,9.343732213973999,66,107,19,28,0,44.000000000000085,103.79999999999973,4.699999999999999,8.290667486190795,6.0,0.0,0,seed_20013.jsonl.gz
20014,standard,standard,0.9911111111111112,0.52,2,True,coverage,176,141,35,108,84,24,32,5,0,167,0,3,14,0.0,9.793411445617672,True,False,0,0,0,health_zero_fatigue,103,0.8133333333333334,0.30666666666666664,3.0,3.275676202774047,85,56,18,17,0,35.19999999999996,84.59999999999991,3.5000000000000018,16.90658855438232,4.0,2.0,0,seed_20014.jsonl.gz
20015,standard,standard,0.9866666666666667,0.6044444444444445,2,True,coverage,218,179,39,81,53,28,16,3,0,81,0,3,16,0.0,9.2524621963501,True,False,0,0,0,health_zero_fatigue,63,0.8,0.23555555555555555,6.0,2.472008991241456,54,125,9,30,0,43.60000000000008,107.3999999999997,3.900000000000002,5.847537803649902,6.0,0.0,0,seed_20015.jsonl.gz
20016,standard,standard,1.0,0.68,2,True,coverage,207,171,36,73,43,30,62,5,0,234,0,3,16,0.0,9.992035198211672,True,False,0,0,0,health_zero_fatigue,53,0.8044444444444444,0.2,6.0,9.794037961959841,44,127,9,27,0,41.40000000000005,102.59999999999974,3.600000000000002,12.40796480178833,6.0,0.0,0,seed_20016.jsonl.gz
20017,standard,standard,0.9822222222222222,0.6222222222222222,2,True,coverage,198,158,40,76,47,29,41,4,0,185,0,3,15,0.0,9.472607278823844,True,False,0,0,0,health_zero_fatigue,56,0.8044444444444444,0.21333333333333335,7.0,8.03362851142883,48,110,8,32,0,39.60000000000002,94.79999999999981,4.000000000000002,12.127392721176147,5.0,1.0,0,seed_20017.jsonl.gz
20018,standard,standard,0.9866666666666667,0.6266666666666667,2,True,coverage,212,168,44,92,56,36,18,3,0,87,0,3,16,0.0,9.85443882942199,True,False,0,0,0,health_zero_fatigue,72,0.8,0.24,7.0,6.117768907546997,57,111,15,29,0,42.40000000000006,100.79999999999976,4.4,12.545561170578008,6.0,0.0,0,seed_20018.jsonl.gz
20019,standard,standard,1.0,0.7111111111111111,2,True,coverage,218,177,41,91,54,37,53,4,0,197,0,3,16,0.0,9.429899215698246,True,False,0,0,0,health_zero_fatigue,67,0.8044444444444444,0.23555555555555555,6.0,2.394068908691409,55,122,12,29,0,43.60000000000008,106.1999999999997,4.100000000000001,6.670100784301758,6.0,0.0,0,seed_20019.jsonl.gz
20020,standard,standard,0.9733333333333334,0.48444444444444446,2,True,coverage,159,127,32,80,60,20,18,3,0,96,0,3,12,0.0,9.60410652160645,True,False,0,0,0,health_zero_fatigue,75,0.8177777777777778,0.25333333333333335,5.0,4.311203384399414,61,66,14,18,0,31.79999999999992,76.19999999999999,3.2000000000000015,9.195893478393556,2.0,4.0,0,seed_20020.jsonl.gz
