seed,model_phase1_decisions,expert_fallbacks,learned_seed,learned_seen_fraction,learned_coverage,learned_phase,learned_reached_phase2,learned_actions,learned_turns,learned_replans,learned_phase1_replans,learned_phase2_replans,learned_survival_mode_actions,learned_phase1_actions,learned_phase1_turns,learned_phase1_end_seen_fraction,learned_phase1_end_health,learned_phase1_end_energy,learned_phase1_temperature_discomfort_total,learned_phase1_expert_decisions,learned_phase1_forbidden_entries,learned_direct_hazard_entries,learned_meat_collected,learned_meat_health_restored,learned_meat_health_wasted,learned_flower_contacts,learned_fatigue_health_losses,learned_direct_hazard_health_losses,learned_temperature_discomfort_total,learned_health,learned_energy,learned_terminated,learned_truncated,expert_seed,expert_seen_fraction,expert_coverage,expert_phase,expert_reached_phase2,expert_actions,expert_turns,expert_replans,expert_phase1_replans,expert_phase2_replans,expert_survival_mode_actions,expert_phase1_actions,expert_phase1_turns,expert_phase1_end_seen_fraction,expert_phase1_end_health,expert_phase1_end_energy,expert_phase1_temperature_discomfort_total,expert_phase1_expert_decisions,expert_phase1_forbidden_entries,expert_direct_hazard_entries,expert_meat_collected,expert_meat_health_restored,expert_meat_health_wasted,expert_flower_contacts,expert_fatigue_health_losses,expert_direct_hazard_health_losses,expert_temperature_discomfort_total,expert_health,expert_energy,expert_terminated,expert_truncated
78,72,0,78,0.9911111111111112,0.5955555555555555,2,True,200,38,99,71,28,0,92,20,0.8044444444444444,6.0,1.3385849952697724,10.122830009460445,0,0,0,3,6.0,0.0,1,15,0,39.49819622039796,0.0,9.250901889801021,True,False,78,0.9822222222222222,0.5866666666666667,2,True,204,37,77,52,25,0,65,12,0.8044444444444444,8.0,0.884113597869874,6.231772804260253,0,0,0,3,6.0,0.0,2,16,0,32.016300487518315,0.0,9.29184975624084,True,False
40,44,0,40,1.0,0.6044444444444445,2,True,180,35,70,43,27,0,53,9,0.8044444444444444,8.0,9.994089698791502,4.211820602416993,0,0,0,3,4.0,2.0,1,14,0,27.273603534698502,0.0,9.863198232650753,True,False,40,0.9911111111111112,0.5555555555555556,2,True,190,33,69,44,25,0,54,9,0.8088888888888889,7.0,8.299753379821777,6.000493240356446,0,0,0,3,5.0,1.0,1,15,0,29.143373012542735,0.0,9.928313493728636,True,False
22,70,0,22,0.8577777777777778,0.39555555555555555,2,True,166,34,82,69,13,0,87,17,0.8,6.0,7.455350399017333,2.8892992019653327,0,0,0,1,2.0,0.0,0,12,0,9.048281383514405,0.0,9.675859308242796,True,False,22,0.96,0.5555555555555556,2,True,202,42,75,48,27,0,58,9,0.8,6.0,6.2041670799255355,3.7916658401489256,0,0,0,3,6.0,0.0,0,16,0,39.59004240036011,0.0,9.604978799819941,True,False
45,63,0,45,1.0,0.5911111111111111,2,True,192,42,97,62,35,0,81,18,0.8088888888888889,4.0,9.53754000663757,9.324919986724856,0,0,0,3,4.0,2.0,1,14,0,15.37102327346802,0.0,9.714488363265986,True,False,45,0.9955555555555555,0.6755555555555556,2,True,212,38,84,50,34,0,62,11,0.8088888888888889,8.0,4.358714199066164,3.0825716018676768,0,0,0,3,6.0,0.0,2,16,0,19.1263095855713,0.0,9.836845207214356,True,False
94,59,0,94,0.9688888888888889,0.5955555555555555,2,True,219,43,82,58,24,0,72,13,0.8088888888888889,5.0,7.61782937049866,2.5643412590026857,0,0,0,3,6.0,0.0,1,15,0,13.654337406158449,0.0,9.472831296920777,True,False,94,0.9955555555555555,0.6088888888888889,2,True,209,34,85,55,30,0,69,13,0.8,5.0,9.875060176849365,2.8498796463012694,0,0,0,3,6.0,0.0,1,15,0,19.606153869628898,0.0,9.99692306518555,True,False
59,43,0,59,1.0,0.6533333333333333,2,True,202,39,78,42,36,0,52,9,0.8088888888888889,7.0,0.8786299228668164,4.042740154266358,0,0,0,3,6.0,0.0,1,15,0,37.35298986434937,0.0,9.22350506782531,True,False,59,1.0,0.6311111111111111,2,True,192,36,90,60,30,0,74,13,0.8088888888888889,6.0,4.41615285873413,5.767694282531738,0,0,0,3,5.0,1.0,2,14,0,29.338137245178217,0.0,9.730931377410885,True,False
32,53,0,32,1.0,0.5155555555555555,2,True,180,35,81,52,29,0,68,15,0.8,7.0,8.441039848327634,9.317920303344726,0,0,0,3,4.0,2.0,0,14,0,27.273493957519527,0.0,9.863253021240233,True,False,32,0.9466666666666667,0.5022222222222222,2,True,168,30,79,61,18,0,78,16,0.8088888888888889,8.0,1.520847749710083,8.158304500579835,0,0,0,3,3.0,3.0,1,13,0,22.226072311401367,0.0,9.486963844299316,True,False
76,61,0,76,1.0,0.5955555555555555,2,True,206,42,88,60,28,0,80,19,0.8,5.0,1.8287930011749267,7.342413997650144,0,0,0,3,6.0,0.0,1,16,0,33.678064441680895,0.0,9.360967779159548,True,False,76,1.0,0.6355555555555555,2,True,210,43,98,71,27,0,93,21,0.8,6.0,0.8549777030944861,10.490044593811035,0,0,0,3,6.0,0.0,2,16,0,27.027979278564445,0.0,9.98601036071778,True,False
50,51,0,50,1.0,0.6222222222222222,2,True,203,40,76,50,26,0,64,13,0.8177777777777778,6.0,1.3864164352416972,7.827167129516599,0,0,0,3,6.0,0.0,1,16,0,36.10461740493774,0.0,9.547691297531125,True,False,50,0.9866666666666667,0.5511111111111111,2,True,193,39,83,61,22,0,73,11,0.8133333333333334,5.0,3.2161728858947725,7.767654228210446,0,0,0,3,6.0,0.0,1,15,0,50.935201835632306,0.0,9.632399082183834,True,False
73,60,0,73,0.9955555555555555,0.6088888888888889,2,True,205,43,92,59,33,0,77,17,0.8044444444444444,7.0,1.9491294384002689,9.901741123199463,0,0,0,3,6.0,0.0,1,16,0,35.06616926193238,0.0,9.966915369033819,True,False,73,1.0,0.5644444444444444,2,True,173,28,108,79,29,0,97,17,0.8177777777777778,5.0,6.987869787216184,7.824260425567627,0,0,0,3,4.0,2.0,1,14,0,31.476077651977548,0.0,9.861961174011224,True,False
