episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,teacher_weight,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
1,0.7422222222222222,199.0,170.0,4.0,0.9764705882352941,14.0,0.0,160.96129858875273,nan,nan,nan,nan,nan,11.988,0.7992,0.5294222222222222,0.4031111111111111,0.8321246712699303,0.0
2,0.6444444444444445,176.0,151.0,7.0,0.9536423841059603,14.0,0.0,138.3197193851471,nan,nan,nan,nan,nan,11.975999999999999,0.7984,nan,nan,nan,nan
3,0.7422222222222222,208.0,176.0,10.0,0.9431818181818182,16.0,0.0,158.35298440837863,nan,nan,nan,nan,nan,11.964,0.7976000000000001,nan,nan,nan,nan
4,0.6888888888888889,208.0,164.0,10.0,0.9390243902439024,16.0,0.0,146.09659397506718,nan,nan,nan,nan,nan,11.952,0.7968000000000001,nan,nan,nan,nan
5,0.68,177.0,154.0,2.0,0.987012987012987,14.0,0.0,147.77491192674637,nan,nan,nan,nan,nan,11.94,0.796,nan,nan,nan,nan
6,0.6533333333333333,185.0,160.0,14.0,0.9125,13.0,0.0,138.3606176910401,nan,nan,nan,nan,nan,11.928,0.7952,nan,nan,nan,nan
7,0.7111111111111111,222.0,174.0,15.0,0.9137931034482759,16.0,0.0,149.29165756225572,nan,nan,nan,nan,nan,11.916,0.7944,nan,nan,nan,nan
8,0.6488888888888888,174.0,150.0,5.0,0.9666666666666667,14.0,0.0,139.8566483626366,nan,nan,nan,nan,nan,11.904,0.7936000000000001,nan,nan,nan,nan
9,0.6933333333333334,198.0,163.0,8.0,0.950920245398773,14.0,0.0,148.69084114313128,nan,nan,nan,nan,nan,11.892,0.7928000000000001,nan,nan,nan,nan
10,0.7155555555555555,202.0,172.0,12.0,0.9302325581395349,16.0,0.0,151.70974067020416,nan,nan,nan,nan,nan,11.879999999999999,0.792,nan,nan,nan,nan
11,0.68,199.0,165.0,13.0,0.9212121212121213,16.0,0.0,143.4268202762605,nan,nan,nan,nan,nan,11.868,0.7912,nan,nan,nan,nan
12,0.5955555555555555,180.0,147.0,14.0,0.9047619047619048,14.0,0.0,124.7834377760888,nan,nan,nan,nan,nan,11.856,0.7904,nan,nan,nan,nan
13,0.72,209.0,170.0,9.0,0.9470588235294117,16.0,0.0,153.38765517377848,nan,nan,nan,nan,nan,11.844,0.7896000000000001,nan,nan,nan,nan
