seed,coverage,actions,forward_moves,unique_route_cells,route_cells,known_danger_sources,danger_zone_entries,route_replans,completed_route,terminated,truncated,health,energy
7,0.5377777777777778,178,125,121,225,4,0,4,False,True,False,0,9.622975444793694
8,0.52,180,122,117,225,5,0,5,False,True,False,0,9.54155888557434
9,0.5688888888888889,182,130,128,225,5,0,4,False,True,False,0,9.847055578231807
10,0.48,145,110,108,225,2,0,2,False,True,False,0,9.822573280334474
11,0.5866666666666667,170,131,132,225,3,0,3,False,True,False,0,9.456419754028321
12,0.5022222222222222,172,122,113,225,5,0,5,False,True,False,0,9.565467166900637
13,0.5555555555555556,174,127,125,225,3,0,3,False,True,False,0,9.891256046295167
14,0.48,147,112,108,225,2,0,2,False,True,False,0,9.431887817382815
15,0.4711111111111111,164,121,106,225,5,0,5,False,True,False,0,9.505719041824344
16,0.5911111111111111,197,144,133,225,5,0,5,False,True,False,0,9.923390531539921
17,0.64,204,152,144,225,4,0,4,False,True,False,0,9.529974412918092
18,0.6222222222222222,200,144,140,225,5,0,5,False,True,False,0,9.58840870857239
19,0.5511111111111111,169,126,124,225,3,0,3,False,True,False,0,9.18708043098449
20,0.5955555555555555,199,141,134,225,4,0,4,False,True,False,0,9.584303236007681
21,0.64,193,147,144,225,4,0,3,False,True,False,0,9.571143722534176
22,0.4888888888888889,162,114,110,225,5,0,5,False,True,False,0,9.38857293128967
23,0.5555555555555556,186,124,125,225,4,0,4,False,True,False,0,9.743576240539548
24,0.6133333333333333,205,139,138,225,4,0,4,False,True,False,0,9.973093414306645
25,0.7111111111111111,231,163,160,225,5,0,5,False,True,False,0,9.661271190643312
26,0.5333333333333333,173,121,120,225,4,0,4,False,True,False,0,9.579239749908446
27,0.4533333333333333,160,116,102,225,4,0,4,False,True,False,0,9.582199668884284
28,0.5466666666666666,169,122,123,225,3,0,3,False,True,False,0,9.675644159317013
29,0.5644444444444444,173,126,127,225,4,0,4,False,True,False,0,9.695747089385991
30,0.4311111111111111,142,98,97,225,4,0,4,False,True,False,0,9.463218688964842
31,0.4533333333333333,146,104,102,225,4,0,4,False,True,False,0,9.406723499298094
32,0.5822222222222222,191,133,131,225,4,0,4,False,True,False,0,9.34691381454468
33,0.6311111111111111,197,146,142,225,4,0,4,False,True,False,0,9.647609519958499
34,0.5955555555555555,189,139,134,225,5,0,5,False,True,False,0,9.643476724624636
35,0.6888888888888889,230,167,155,225,4,0,4,False,True,False,0,9.88454103469849
36,0.5377777777777778,176,123,121,225,4,0,4,False,True,False,0,9.493491744995115
37,0.7555555555555555,236,171,170,225,4,0,4,False,True,False,0,9.302110481262213
38,0.6088888888888889,182,136,137,225,4,0,4,False,True,False,0,9.661869859695434
39,0.6311111111111111,189,141,142,225,5,0,5,False,True,False,0,9.561912918090824
40,0.6755555555555556,222,154,152,225,5,0,5,False,True,False,0,9.543254852294927
41,0.44,149,108,99,225,5,0,5,False,True,False,0,9.090202331542963
42,0.6355555555555555,197,146,143,225,4,0,4,False,True,False,0,9.638409805297856
43,0.6711111111111111,209,154,151,225,3,0,3,False,True,False,0,9.430558109283448
44,0.5777777777777777,194,142,130,225,5,0,5,False,True,False,0,9.436338901519775
45,0.5688888888888889,187,132,128,225,5,0,5,False,True,False,0,9.823461055755615
46,0.5333333333333333,165,122,120,225,3,0,3,False,True,False,0,9.799959659576414
