seed,coverage,actions,forward_moves,unique_route_cells,route_cells,known_danger_sources,danger_zone_entries,route_replans,completed_route,terminated,truncated,health,energy
7,0.5377777777777778,178,125,121,225,4,0,4,False,True,False,0,9.622975444793694
8,0.52,180,122,117,225,5,0,5,False,True,False,0,9.54155888557434
9,0.5688888888888889,182,130,128,225,5,0,4,False,True,False,0,9.847055578231807
10,0.48,145,110,108,225,2,0,2,False,True,False,0,9.822573280334474
11,0.5866666666666667,170,131,132,225,3,0,3,False,True,False,0,9.456419754028321
12,0.5022222222222222,172,122,113,225,5,0,5,False,True,False,0,9.565467166900637
13,0.5555555555555556,174,127,125,225,3,0,3,False,True,False,0,9.891256046295167
14,0.48,147,112,108,225,2,0,2,False,True,False,0,9.431887817382815
15,0.4711111111111111,164,121,106,225,5,0,5,False,True,False,0,9.505719041824344
16,0.5911111111111111,197,144,133,225,5,0,5,False,True,False,0,9.923390531539921
17,0.64,204,152,144,225,4,0,4,False,True,False,0,9.529974412918092
18,0.6222222222222222,200,144,140,225,5,0,5,False,True,False,0,9.58840870857239
19,0.5511111111111111,169,126,124,225,3,0,3,False,True,False,0,9.18708043098449
20,0.5955555555555555,199,141,134,225,4,0,4,False,True,False,0,9.584303236007681
21,0.64,193,147,144,225,4,0,3,False,True,False,0,9.571143722534176
22,0.4888888888888889,162,114,110,225,5,0,5,False,True,False,0,9.38857293128967
23,0.5555555555555556,186,124,125,225,4,0,4,False,True,False,0,9.743576240539548
24,0.6133333333333333,205,139,138,225,4,0,4,False,True,False,0,9.973093414306645
25,0.7111111111111111,231,163,160,225,5,0,5,False,True,False,0,9.661271190643312
26,0.5333333333333333,173,121,120,225,4,0,4,False,True,False,0,9.579239749908446
