seed,seen_fraction,coverage,phase,reached_phase2,actions,turns,replans,phase1_replans,phase2_replans,survival_mode_actions,phase1_actions,phase1_turns,phase1_end_seen_fraction,phase1_end_health,phase1_end_energy,phase1_temperature_discomfort_total,phase1_expert_decisions,phase2_expert_decisions,phase1_forbidden_entries,direct_hazard_entries,meat_collected,meat_health_restored,meat_health_wasted,flower_contacts,fatigue_health_losses,direct_hazard_health_losses,temperature_discomfort_total,health,energy,terminated,truncated
7,1.0,0.64,2,True,214,42,89,60,29,0,77,16,0.8044444444444444,5.0,3.410686874389646,5.978626251220703,61,29,0,0,3,6.0,0.0,1,15,0,20.050809574127204,0.0,9.774595212936397,True,False
8,1.0,0.6533333333333333,2,True,191,31,64,33,31,0,39,5,0.8044444444444444,8.0,8.544438457489013,5.511123085021972,34,31,0,0,3,5.0,1.0,2,14,0,26.51457290649414,0.0,9.442713546752927,True,False
9,1.0,0.6177777777777778,2,True,212,46,96,60,36,0,83,22,0.8088888888888889,6.0,9.095592594146723,11.00881481170654,61,36,0,0,3,6.0,0.0,1,16,0,26.892555618286142,0.0,9.95372219085693,True,False
10,0.9866666666666667,0.6622222222222223,2,True,211,40,80,50,30,0,64,13,0.8,6.0,3.2294272422790558,4.141145515441894,51,30,0,0,3,6.0,0.0,1,16,0,23.73671894073486,0.0,9.331640529632573,True,False
11,1.0,0.7244444444444444,2,True,213,37,78,46,32,0,56,9,0.8133333333333334,6.0,8.974251508712772,1.4514969825744628,47,32,0,0,3,6.0,0.0,1,15,0,16.302612209320074,0.0,9.94869389533997,True,False
12,1.0,0.6755555555555556,2,True,212,36,81,44,37,0,52,7,0.8177777777777778,9.0,0.4060395717620868,2.98792085647583,45,37,0,0,3,6.0,0.0,2,16,0,17.27870378494262,0.0,9.760648107528686,True,False
13,0.8933333333333333,0.4666666666666667,2,True,166,27,79,63,16,0,76,12,0.8044444444444444,5.0,4.613120937347412,1.1737581253051759,64,16,0,0,1,2.0,0.0,1,12,0,2.638046073913575,0.0,9.380976963043214,True,False
14,1.0,0.5955555555555555,2,True,175,32,97,73,24,0,89,15,0.8044444444444444,7.0,5.519763088226318,1.5604738235473632,74,24,0,0,3,3.0,3.0,0,13,0,12.932035636901857,0.0,9.533982181549074,True,False
15,1.0,0.6755555555555556,2,True,214,37,76,50,26,0,61,10,0.8177777777777778,8.0,3.2977764606475826,5.804447078704834,51,26,0,0,3,6.0,0.0,0,16,0,14.759109878540038,0.0,9.92044506072998,True,False
16,0.9822222222222222,0.49777777777777776,2,True,178,34,69,43,26,0,55,11,0.8177777777777778,6.0,9.412001419067384,4.175997161865235,44,26,0,0,3,4.0,2.0,0,14,0,29.221348381042493,0.0,9.989325809478757,True,False
