result_file,map_size,decision_family,approach,artifact_kind,bytes
15x15/benchmarks/frontier_planner_component_ablation_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_component_ablation_heldout,comparison,11896
15x15/benchmarks/frontier_planner_component_ablation_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_component_ablation_heldout,comparison,7697
15x15/benchmarks/frontier_planner_vs_learned_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_learned_heldout,comparison,8545
15x15/benchmarks/frontier_planner_vs_learned_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_learned_heldout,comparison,3685
15x15/benchmarks/frontier_planner_vs_oracle/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_oracle,comparison,9793
15x15/benchmarks/frontier_planner_vs_oracle/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_oracle,comparison,1254
15x15/benchmarks/frontier_planner_vs_oracle/god_mode/god_mode_config.txt,15x15,benchmarks,frontier_planner_vs_oracle/god_mode,configuration,122
15x15/benchmarks/frontier_planner_vs_oracle/god_mode/god_mode_episode_metrics.csv,15x15,benchmarks,frontier_planner_vs_oracle/god_mode,metric,3982
15x15/benchmarks/frontier_planner_vs_oracle/god_mode/summary.json,15x15,benchmarks,frontier_planner_vs_oracle/god_mode,metric,515
15x15/benchmarks/frontier_planner_vs_oracle/planner/planner_config.txt,15x15,benchmarks,frontier_planner_vs_oracle/planner,configuration,384
15x15/benchmarks/frontier_planner_vs_oracle/planner/planner_episode_metrics.csv,15x15,benchmarks,frontier_planner_vs_oracle/planner,metric,4165
15x15/benchmarks/frontier_planner_vs_oracle/planner/summary.json,15x15,benchmarks,frontier_planner_vs_oracle/planner,metric,830
15x15/benchmarks/frontier_planner_vs_residual_object_dropout_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_residual_object_dropout_heldout,comparison,6575
15x15/benchmarks/frontier_planner_vs_residual_object_dropout_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_residual_object_dropout_heldout,comparison,4077
15x15/benchmarks/frontier_planner_vs_residual_prior_full_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_residual_prior_full_heldout,comparison,6645
15x15/benchmarks/frontier_planner_vs_residual_prior_full_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_residual_prior_full_heldout,comparison,4196
15x15/benchmarks/frontier_planner_vs_residual_resource_scarce_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_residual_resource_scarce_heldout,comparison,6536
15x15/benchmarks/frontier_planner_vs_residual_resource_scarce_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_residual_resource_scarce_heldout,comparison,4090
15x15/benchmarks/frontier_planner_vs_residual_without_persistent_prior_heldout/comparison_by_episode.csv,15x15,benchmarks,frontier_planner_vs_residual_without_persistent_prior_heldout,comparison,6639
15x15/benchmarks/frontier_planner_vs_residual_without_persistent_prior_heldout/comparison_summary.json,15x15,benchmarks,frontier_planner_vs_residual_without_persistent_prior_heldout,comparison,4384
15x15/benchmarks/full_information_oracle/god_mode_config.txt,15x15,benchmarks,full_information_oracle,configuration,107
15x15/benchmarks/full_information_oracle/god_mode_metrics.csv,15x15,benchmarks,full_information_oracle,metric,230
15x15/benchmarks/full_information_oracle/summary.json,15x15,benchmarks,full_information_oracle,metric,500
15x15/benchmarks/recurrent_patch_fusion_dqn_reference/train_config.txt,15x15,benchmarks,recurrent_patch_fusion_dqn_reference,configuration,2127
15x15/benchmarks/recurrent_patch_fusion_dqn_reference/training_log_5.csv,15x15,benchmarks,recurrent_patch_fusion_dqn_reference,training_metric,199924
15x15/benchmarks/residual_persistent_prior_inference_ablation_heldout/comparison_by_episode.csv,15x15,benchmarks,residual_persistent_prior_inference_ablation_heldout,comparison,7565
15x15/benchmarks/residual_persistent_prior_inference_ablation_heldout/summary.json,15x15,benchmarks,residual_persistent_prior_inference_ablation_heldout,metric,1629
15x15/model_based/archived_direct_action_rl/ARCHIVE_NOTES.md,15x15,model_based,archived_direct_action_rl,supporting_result,238
15x15/model_based/archived_direct_action_rl/MANIFEST.tsv,15x15,model_based,archived_direct_action_rl,configuration,3461
15x15/model_based/archived_direct_action_rl/runs_dqn_v10_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v10_smoke,configuration,2175
15x15/model_based/archived_direct_action_rl/runs_dqn_v10_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v10_smoke,training_metric,559
15x15/model_based/archived_direct_action_rl/runs_dqn_v5/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5,configuration,2127
15x15/model_based/archived_direct_action_rl/runs_dqn_v5/training_log_5.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5,training_metric,199924
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_explore_v2/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_explore_v2,configuration,3336
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_explore_v2/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_explore_v2,training_metric,590640
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_explore_v3/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_explore_v3,configuration,4086
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_explore_v3/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_explore_v3,training_metric,159875
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_improved/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_improved,configuration,2572
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_improved/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_improved,training_metric,577513
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_smoke_adaptive/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_smoke_adaptive,configuration,4087
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_smoke_adaptive/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_smoke_adaptive,training_metric,2519
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_smoke_adaptive_v2/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_smoke_adaptive_v2,configuration,4090
15x15/model_based/archived_direct_action_rl/runs_dqn_v5_smoke_adaptive_v2/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v5_smoke_adaptive_v2,training_metric,2504
15x15/model_based/archived_direct_action_rl/runs_dqn_v6_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v6_smoke,configuration,4546
15x15/model_based/archived_direct_action_rl/runs_dqn_v6_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v6_smoke,training_metric,28696
15x15/model_based/archived_direct_action_rl/runs_dqn_v6_trial300/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v6_trial300,configuration,4552
15x15/model_based/archived_direct_action_rl/runs_dqn_v6_trial300/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v6_trial300,training_metric,209412
15x15/model_based/archived_direct_action_rl/runs_dqn_v7_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v7_smoke,configuration,4854
15x15/model_based/archived_direct_action_rl/runs_dqn_v7_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v7_smoke,training_metric,30144
15x15/model_based/archived_direct_action_rl/runs_dqn_v7_trial120/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v7_trial120,configuration,4860
15x15/model_based/archived_direct_action_rl/runs_dqn_v7_trial120/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v7_trial120,training_metric,89309
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke,configuration,4842
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke,training_metric,29316
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_tuned/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_tuned,configuration,4848
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_tuned/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_tuned,training_metric,30057
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults,configuration,4854
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults,training_metric,29804
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults_nonovelty/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults_nonovelty,configuration,4865
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults_nonovelty/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_smoke_v6defaults_nonovelty,training_metric,29613
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_trial120/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_trial120,configuration,4848
15x15/model_based/archived_direct_action_rl/runs_dqn_v8_trial120/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v8_trial120,training_metric,88182
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_3x3_hazard/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_3x3_hazard,configuration,5494
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_3x3_hazard/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_3x3_hazard,training_metric,99871
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_coverage_v1/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_coverage_v1,configuration,5577
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_coverage_v1/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_coverage_v1,training_metric,701448
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_no_health_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_no_health_smoke,configuration,5346
15x15/model_based/archived_direct_action_rl/runs_dqn_v9_no_health_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_dqn_v9_no_health_smoke,training_metric,3542
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_reset_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_reset_smoke,configuration,2637
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_reset_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_reset_smoke,training_metric,3028
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_smoke,configuration,2629
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_smoke,training_metric,2787
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v1/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v1,configuration,2632
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v1/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v1,training_metric,227149
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v2/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v2,configuration,3302
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v2/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v2,training_metric,242039
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v2_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v2_smoke,configuration,3304
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v2_smoke/training_log.csv,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v2_smoke,training_metric,7942
15x15/model_based/archived_direct_action_rl/runs_ppo_rnd_v3_smoke/train_config.txt,15x15,model_based,archived_direct_action_rl/runs_ppo_rnd_v3_smoke,configuration,3314
