source_summary,map_size,decision_family,approach,metric_set,episode,coverage,coverage_p10,steps,forward_actions,turn_actions,repeat_forwards,unique_per_forward,health_loss,survived,terminated
15x15/benchmarks/frontier_planner_vs_oracle/god_mode/summary.json,15x15,benchmarks,frontier_planner_vs_oracle/god_mode,aggregate,,0.7869333333333333,0.76,200.62,176.9,23.72,0.84,0.9952626566371913,15.78,0.0,1.0
15x15/benchmarks/frontier_planner_vs_oracle/planner/summary.json,15x15,benchmarks,frontier_planner_vs_oracle/planner,aggregate,,0.7173333333333334,0.6795555555555556,202.32,168.72,33.6,8.32,0.9506520296496781,15.78,0.0,1.0
15x15/benchmarks/full_information_oracle/summary.json,15x15,benchmarks,full_information_oracle,aggregate,,0.7869333333333333,0.76,200.62,176.9,23.72,0.84,0.9952626566371913,15.78,0.0,1.0
15x15/model_based/planner_residual_target_ppo/summary.json,15x15,model_based,planner_residual_target_ppo,best_evaluation,700,0.703911111111111,0.6528888888888889,,,,,0.9480814508517706,,0.0,
15x15/model_based/planner_residual_target_ppo/summary.json,15x15,model_based,planner_residual_target_ppo,final_evaluation,3000,0.6940444444444444,0.6346666666666667,,,,,0.9461489043597244,,0.0,
15x15/model_based/planner_residual_target_ppo/summary.json,15x15,model_based,planner_residual_target_ppo,final_training_episode,3000,0.6755555555555556,,207.0,168.0,,17.0,0.8988095238095238,16.0,0.0,
15x15/model_based/planner_residual_target_ppo/summary.json,15x15,model_based,planner_residual_target_ppo,last_100_training_episodes_mean,,0.6669333333333333,,,,,,0.9090516364750973,15.46,,
15x15/model_based/spatial_target_ppo_with_planner/summary.json,15x15,model_based,spatial_target_ppo_with_planner,best_evaluation,600,0.6921777777777778,0.6551111111111111,,,,,0.9387916256380773,,0.0,
15x15/model_based/spatial_target_ppo_with_planner/summary.json,15x15,model_based,spatial_target_ppo_with_planner,final_evaluation,3000,0.6820444444444442,0.644,,,,,0.9053006484650155,,0.0,
15x15/model_based/spatial_target_ppo_with_planner/summary.json,15x15,model_based,spatial_target_ppo_with_planner,final_training_episode,3000,0.6577777777777778,,204.0,162.0,,15.0,0.9074074074074074,16.0,0.0,
15x15/model_based/spatial_target_ppo_with_planner/summary.json,15x15,model_based,spatial_target_ppo_with_planner,last_100_training_episodes_mean,,0.660088888888889,,,,,,0.8971260179897743,15.39,,
15x15/non_model_based/partial_observation_frontier_planner/baseline_10/summary.json,15x15,non_model_based,partial_observation_frontier_planner/baseline_10,aggregate,,0.7288888888888889,0.6795555555555556,205.0,171.7,,8.7,0.9495416773793709,15.6,0.0,1.0
15x15/non_model_based/partial_observation_frontier_planner/baseline_100/summary.json,15x15,non_model_based,partial_observation_frontier_planner/baseline_100,aggregate,,0.7158222222222225,0.6711111111111111,202.34,168.2,,8.14,0.9515346862742292,15.88,0.0,1.0
15x15/non_model_based/partial_observation_frontier_planner/baseline_50/summary.json,15x15,non_model_based,partial_observation_frontier_planner/baseline_50,aggregate,,0.7173333333333334,0.6795555555555556,202.32,168.72,,8.32,0.9506520296496781,15.78,0.0,1.0
31x31/model_based/planner_residual_target_ppo/summary.json,31x31,model_based,planner_residual_target_ppo,best_evaluation,1900,0.6582310093652446,0.6389177939646202,,,,,0.9314674901022884,,0.0,
31x31/model_based/planner_residual_target_ppo/summary.json,31x31,model_based,planner_residual_target_ppo,final_evaluation,3000,0.6566285119667015,0.6409989594172737,,,,,0.9313962143553103,,0.0,
31x31/model_based/planner_residual_target_ppo/summary.json,31x31,model_based,planner_residual_target_ppo,final_training_episode,3000,0.6451612903225806,,797.0,684.0,,65.0,0.9049707602339181,61.0,0.0,
31x31/model_based/planner_residual_target_ppo/summary.json,31x31,model_based,planner_residual_target_ppo,last_100_training_episodes_mean,,0.6431321540062435,,,,,,0.9000128327356578,62.7,,
31x31/non_model_based/partial_observation_frontier_planner/baseline_10/summary.json,31x31,non_model_based,partial_observation_frontier_planner/baseline_10,aggregate,,0.65369406867846,0.6336108220603538,778.0,664.1,,36.9,0.9444798871243693,62.4,0.0,1.0
31x31/non_model_based/partial_observation_frontier_planner/baseline_100/summary.json,31x31,non_model_based,partial_observation_frontier_planner/baseline_100,aggregate,,0.6636524453694068,0.6420395421436004,788.0,674.2,,37.43,0.944525328907906,62.8,0.0,1.0
31x31/non_model_based/partial_observation_frontier_planner/baseline_50/summary.json,31x31,non_model_based,partial_observation_frontier_planner/baseline_50,aggregate,,0.663933402705515,0.6420395421436004,788.94,674.26,,37.22,0.9448117201347601,62.82,0.0,1.0
45x45/non_model_based/partial_observation_frontier_planner/baseline_10/summary.json,45x45,non_model_based,partial_observation_frontier_planner/baseline_10,aggregate,,0.6900246913580247,0.677037037037037,1761.5,1494.5,,98.2,0.9343008848261196,140.8,0.0,1.0
